Cell Line Name	tissue of origin	age	sex	prior treatment	Epithelial	histology	source	ploidy	p53	mdr	doubling time	Institute 	Contributor	Reference
CO:HCC_2998	Colon	NA	NA	NA	yes	carcinoma	NA	"2n+/-, Near-diploid 46+/- (35-57)"	MT	-5	31.5	MD Anderson Hospital and Tumor Institute	?	?
CO:HCT_116	Colon	NA	M	NA	yes	carcinoma-vpd	NA	"2n-, Hypodiploid (35-45)"	?	26	17.4	Baylor College	?	"Can Res 41: 1761-1756, 1981"
CO:HCT_15	Colon	NA	NA	None	yes	Adenocarcinoma p/md	NA	"2n+/-, Near-diploid 46+/- (35-57)"	?	414	20.6	ATCC	"ATCC (D.L. Dexter, Roger Williams General Hospital)"	"Can Res 39: 1020-1025, 1979"
CO:HT29	Colon	44	F	None	yes	Adenocarcinoma-md	Primary	"3n+/-, Near-triploid 69+/- (58-80)"	MT	15	19.5	Memorial Sloan Kettering Cancer Center	J. Fogh	"Human Tumor Cells in vitro: 115-159, 1975"
CO:KM12	Colon	NA	NA	None	yes	Adenocarcinome-pd	NA	"2n+/-, Near-diploid 46+/- (35-57)"	MT	-19	23.7	MD Anderson Hospital and Tumor Institute	"I.J. Fidler, Univ of Texas M.D. Anderson Hospital and Tumor Institute"	"Can Res 48: 1943-1948, 1988"
CO:SW_620	Colon	51	M	NA	yes	Carcinoma-ud	NA	"2n+/-, Near-diploid 46+/- (35-57)"	MT	31	20.4	Scott White Clinic	A. Leibovitz	Can Res 1976 Dec;36(12):4562-9
LE:CCRF_CEM	Leukemia	4	F	Rad/Mtx/Ctx	no	ALL	NA	"2n+/-, Near-diploid 46+/- (35-57)"	MT	35	26.7	Children's Cancer research Foudation	G.E. Foley	"Cancer 18: 522-529, 1965"
LE:HL_60	Leukemia	36	F	None	no	Pro myelocytic leukemia	PBL	"2n+/-, Near-diploid 46+/- (35-57)"	MT	-11	28.6	NCI	R.C. Gallo	"Blood 54(3):713-33, 1979"
LE:K_562	Leukemia	53	F	Bisulfan/PiBr	no	CML	Pleural effusion	"3n-, Hypotriploid (58-68)"	MT	-1	19.6	University of Tennesse	H.T. Holden	"Blood 45: 321-334, 1975"
LE:MOLT_4	Leukemia	19	M	VB/6MP/Pred	no	ALL (cells were taken when patient was in relapse)	PB	"4n, Tetraploid (92)"	WT	10	27.9	Roswell Park Memorial Institute	J. Minowada	"J. Natl. Cancer Inst. 49: 891-895, 1972"
LE:RPMI_8226	Leukemia	61	M	None	no	Myeloma	PB	"3n-, Hypotriploid (58-68)"	WT	-3	33.5	?	G.E. Moore	"Proc Soc Exp Biol Med 125: 1246-1250, 1967"
LE:SR	Leukemia	11	M	None	no	Lymphoma	NA	"2n+/-, Near-diploid 46+/- (35-57)"	?	4	28.7	"Program Resources, Inc."	"W.J. Urba, Program Resources, Inc."	?
ME:LOXIMVI	Melanoma	58	M	None	no	Malignant amelanotic melanoma	NA	"3n+/-, Near-triploid 69+/- (58-80)"	WT	12	20.5	"Norsk Hydro's Institut, Norway"	?	"Int J Cancer 41: 442-449, 1988"
ME:MALME_3M	Melanoma	43	M	None	no	Malignant melanotic melanoma	Metastasis	"4n+/-, Near-tetraploid 92+/- (81-103)"	WT	22	46.2	Memorial Sloan Kettering Cancer Center	J. Fogh	"J. Natl. Cancer Inst. 59: 221-226, 1977"
ME:M14	Melanoma	NA	NA	NA	no	Melanotic melanoma	NA	"3n+/-, Near-triploid 69+/- (58-80)"	MT	14	26.3	"John Wayne Cancer Clinic, UCLA School of Medicine"	"D.H. Kern, John Wayne Cancer Clinic, UCLA School of Medicine"	"Cancer Res 48: 578-582, 1988"
ME:SK_MEL_2	Melanoma	60	M	None	no	Malignant melanotic melanoma	Metastasis	"4n-, Hypotetraploid (81-91)"	WT	14	45.5	Memorial Sloan Kettering Cancer Center	G. Trempe; L.J. Old	"Human Tumor Cells in vitro, pp 115-159, 1975"
ME:SK_MEL_28	Melanoma	51	M	None	no	Malignant melanotic melanoma	NA	"4n-, Hypotetraploid (81-91)"	MT	11	35.1	Memorial Sloan Kettering Cancer Center	T. Takahashi	"PNAS 73: 3278-3282, 1976"
ME:SK_MEL_5	Melanoma	24	F	None	no	Malignant melanotic melanoma	Metastasis	"4n+, Hypertetraploid (93-103)"	WT	12	25.2	Memorial Sloan Kettering Cancer Center	T. Takahashi	"PNAS, 73: 3278-3282, 1976"
ME:UACC_257	Melanoma	NA	NA	NA	no	Melanotic melanoma	NA	"3n+, Hypertriploid (70-80)"	WT	26	38.5	University of Arizona	"A. Leibovitz, UACC"	?
ME:UACC_62	Melanoma	NA	NA	NA	no	Melanotic melanoma	NA	"3n+/-, Near-triploid 69+/- (58-80)"	WT	8	31.3	University of Arizona	"A. Leibovitz, UACC"	?
ME:MDA_MB_435	Melanoma	31	F	NA	no	Ductal carcinoma- mammary gland; breast; duct; metastatic site: pleural effusion;	Pleural effusion	"2n+, Hyperdiploid (47-57)"	MT	20	25.8	?	R. Cailleau	"Cancer Res 40:3118-3129,1980"
ME:MDA_N	Melanoma	31	F	NA	no	Ductal carcinoma- mammary gland; breast; duct; metastatic site: pleural effusion;	Pleural effusion	NA	MT	12	22.5	?	?	?
LC:A549	Non-Small Cell Lung	58	M	NA	yes	Adenocarcinoma-p/md	NA	"3n+/-, Near-triploid 69+/- (58-80)"	WT	10	22.9	NCI	Giard DJ	"J Natl Cancer Inst. 51(5):1417-23, 1973"
LC:EKVX	Non-Small Cell Lung	NA	M	NA	yes	Adenocarcinoma-md	NA	"3n+/-, Near-triploid 69+/- (58-80)"	MT	-9	43.6	"Norsk Hydro's Institut, Norway"	?	?
LC:HOP_62	Non-Small Cell Lung	60	F	None	yes	adenocarcinoma-ud	NA	"4n+, Hypertetraploid (93-103)"	MT	61	39	Johns Hopkins University	M.Liu	?
LC:HOP_92	Non-Small Cell Lung	62	M	None	yes	Large cell-ud	NA	"4n+/-, Near-tetraploid 92+/- (81-103)"	MT	-4	79.5	Johns Hopkins University	M.Liu	?
LC:NCI_H226	Non-Small Cell Lung	NA	M	None (non smoker)	yes	Squamous cell carcinoma-vpd	NA	"3n, Triploid (69)"	MT	7	61	NCI	J.D. Minna; A.F. Gazdar	"Cancer Res. 40: 3502-3507, 1980"
LC:NCI_H23	Non-Small Cell Lung	NA	M	None	yes	Adenocarcinoma-ud	NA	"2n+, Hyperdiploid (47-57)"	MT	-2	33.4	NCI	J.D. Minna; A.F. Gazdar	"Cancer Res. 40: 3502-3507, 1980"
LC:NCI_H322M	Non-Small Cell Lung	52	M	None	yes	Small cell Bronchioalveolar Carcinoma	NA	"2n+/-, Near-diploid 46+/- (35-57)"	MT	-10	35.3	NCI	?	?
LC:NCI_H460	Non-Small Cell Lung	NA	M	NA	yes	Large Cell Carcinoma-ud	Pleural effusion	"2n+/-, Near-diploid 46+/- (35-57)"	WT	25	17.8	NCI	J.D. Minna; A.F. Gazdar	"Science 246: 491-494, 1989"
LC:NCI_H522	Non-Small Cell Lung	NA	M	None	yes	Adenocarcinoma-vpd	NA	"2n+/-, Near-diploid 46+/- (35-57)"	MT	16	38.2	NCI	?	"Can Res 45: 2913-2923, 1985"
OV:IGROV1	Ovarian	47	F	Rad	yes	Cystoadenocarcinoma-pd	NA	"4n+/-, Near-tetraploid 92+/- (81-103)"	MT	20	31	"Institute Gustave Roussy, France"	?	"Can Res 45: 4970-4979,1985"
OV:OVCAR_3	Ovarian	60	F	CyPh/CsPt/Adr	yes	Adenocarcinoma-md	Ascites	"3n+/-, Near-triploid 69+/- (58-80)"	MT	-12	34.7	NCI	T.C. Hamilton	"Sem Ocol 11: 285-298, 1984"
OV:OVCAR_4	Ovarian	42	F	CyPh/CsPt/Adr	yes	Adenocarcinoma-md	NA	"3n+/-, Near-triploid 69+/- (58-80)"	WT	-4	41.4	NCI	T.C. Hamilton	"Sem Ocol 11: 285-298, 1984"
OV:OVCAR_5	Ovarian	67	F	None	yes	Adenocarcinoma-wd	NA	"2n+, Hyperdiploid (47-57)"	MT	13	48.8	NCI	R. Ozols	"Sem Ocol 11: 285-298, 1985"
OV:OVCAR_8	Ovarian	64	F	Ctx/Adr/CsPt/CyPh	yes	Carcinoma-ud	NA	"2n+, Hyperdiploid (47-57)"	MT	7	26.1	NCI	T.C. Hamilton	?
OV:SK_OV_3	Ovarian	64	F	Thiotepa	yes	Adenocarcinoma-vpd	Ascites	"4n+/-, Near-tetraploid 92+/- (81-103)"	?	15	48.7	Memorial Sloan Kettering Cancer Center	?	"Human Tumor Cells in vitro, pp. 115-159, 1975"
OV:NCI_ADR_RES	Ovarian	NA	F	NA	yes	Adenocarinoma	NA	"2n+/-, Near-diploid 46+/- (35-57)"	MT	352	34	NCI	"K.Cowan, NCI"	"Cancer Res., 46:4087-4090,1986"
PR:PC_3	Prostate	62	M	NA	yes	Adenocarcinoma- prostate; metastatic site: bone;	NA	"4n, Tetraploid (92)"	MT	11	27.1	Pasadena Center for Medical Research	M.E. Kaighn	Invest Urol 1979 Jul;17(1):16-23
PR:DU_145	Prostate	69	M	Androgen independent and unresposive to hormone therapy	yes	prostate; metastatic site: brain; carcinoma (patient with metastatic carcinoma of the prostate and a 3 year history of lymphocytic leukemia.)	Metastasis	"3n+/-, Near-triploid 69+/- (58-80)"	?	4	32.3	"Washington University School of Medicine, Saint Louis, MO"	K.R. Stone	"Int J Cancer 21: 274-281,1978"
RE:786_0	Renal	58	M	None	yes	Adenocarcinoma	NA	"4n+/-, Near-tetraploid 92+/- (81-103)"	MT	-44	22.4	?	"R.D.Williams, Univ. of Iowa"	"In Vitro 14: 779-786, 1978"
RE:A498	Renal	52	F	NA	yes	Adenocarcinoma	NA	"3n, Triploid (69)"	WT	78	66.8	NCI	?	"JNCI 51: 1417-1423,1973"
RE:ACHN	Renal	22	M	Rad/VB/CCNU/Mto/Pred	yes	Renal cell carcinoma-p/md	NA	"2n+/-, Near-diploid 46+/- (35-57)"	WT	120	27.5	"Southern Research Inst. (T.F. Hogan, Middleton memorial VA hospital)"	S.M.Schmid	"Cancer Res 42: 4948-4953, 1982"
RE:CAKI_1	Renal	49	M	Rad/HU/5FU/Mtx/Ctx	yes	Clear cell carcinoma	Metastasis	"3n, Triploid (69)"	WT	171	39	Memorial Sloan Kettering Cancer Center	J. Fogh	"Human Tumor cells in vitro, pp 115-159, 1975"
RE:RXF_393	Renal	54	M	None	yes	hypernephroma-pd	NA	"3n+/-, Near-triploid 69+/- (58-80)"	MT	42	62.9	MD Anderson Hospital and Tumor Institute	NCI/DCT/DTP	"Contrib oncol 42, 1992 "
RE:SN12C	Renal	43	M	None	yes	Renal cell carcinoma-pd	NA	"3n, Triploid (69)"	MT	-86	29.5	MD Anderson Hospital and Tumor Institute	.J.Fidler	"Cancer Res 46: 4109-4115, 1986"
RE:TK_10	Renal	43	M	None	yes	Renal Spindle cell carcinoma	NA	"4n, Tetraploid (92)"	MT	-4	51.3	?	"R.V.Clayman, Washington Univ.School of Medicine"	"Cancer Res 46: 3856-3862, 1987"
RE:UO_31	Renal	NA	F	None	yes	Renal cell carcinoma-vpd	NA	"2n+/-, Near-diploid 46+/- (35-57)"	WT	59	41.7	NCI	W.M.Linehan	?
