Probe id	Gene name	Entrez gene id	Chromosome	Start	End	Cytoband	RefSeq(mRNA)	RefSeq(protein)	miRNA Accession #	MirBase Name	BR:MCF7	BR:MDA-MB-231	BR:HS 578T	BR:BT-549	BR:T-47D	CNS:SF-268	CNS:SF-295	CNS:SF-539	CNS:SNB-19	CNS:SNB-75	CNS:U251	CO:COLO 205	CO:HCC-2998	CO:HCT-116	CO:HCT-15	CO:HT29	CO:KM12	CO:SW-620	LE:CCRF-CEM	LE:HL-60(TB)	LE:K-562	LE:MOLT-4	LE:RPMI-8226	LE:SR	ME:LOX IMVI	ME:MALME-3M	ME:M14	ME:SK-MEL-2	ME:SK-MEL-28	ME:SK-MEL-5	ME:UACC-257	ME:UACC-62	ME:MDA-MB-435	ME:MDA-N	LC:A549/ATCC	LC:EKVX	LC:HOP-62	LC:HOP-92	LC:NCI-H226	LC:NCI-H23	LC:NCI-H322M	LC:NCI-H460	LC:NCI-H522	OV:IGROV1	OV:OVCAR-3	OV:OVCAR-4	OV:OVCAR-5	OV:OVCAR-8	OV:SK-OV-3	OV:NCI/ADR-RES	PR:PC-3	PR:DU-145	RE:786-0	RE:A498	RE:ACHN	RE:CAKI-1	RE:RXF 393	RE:SN12C	RE:TK-10	RE:UO-31
hsa-miR-30c-1*	-	-	1	41222956	41223044	-	-	-	MI0000736	hsa-mir-30c-1	-4.002	-3.529	-4.41	-3.802	-3.412	-3.639	-3.093	-3.862	-4.306	-3.698	-3.202	-3.647	-3.615	-3.398	-3.453	-4.116	-3.687	-4.388	-3.532	-3.167	-1.38	-3.201	-2.905	-2.26	-4.257	-3.345	-3.98	-3.673	-2.607	-3.213	-3.36	-4.655	-3.228	-3.532	-2.891	-4.328	-3.497	-3.606	-4.374	-3.916	-4.285	-3.176	-3.903	-4.028	-3.07	-3.454	-3.785	-3.661	-3.045	-3.929	-3.366	-4.34	-3.624	-2.894	-3.962	-4.513	-3.496	-4.549	-3.162	-3.998
hsa-miR-101	-	-	1	65524117	65524191	-	-	-	MI0000103	hsa-mir-101-1	0.46	-0.577	-1.469	-0.225	1.189	-1.44	-0.734	-0.155	-1.007	-0.327	-0.451	0.028	0.001	0.023	-0.038	0.05	0.012	0.048	-0.86	1.884	0.481	1.01	0.535	0.365	0.408	-0.088	-0.151	0.425	-0.3	-0.082	-0.413	-0.337	0.151	-0.16	0.422	-1.238	0.318	-0.587	-1.374	0.008	-0.464	-0.554	-0.471	-0.129	-0.83	-0.257	-0.226	-0.501	-0.536	-0.294	1.036	-0.549	-0.407	-1.407	-0.902	-0.728	-1.111	-0.868	-0.411	-0.769
hsa-miR-186	-	-	1	71533314	71533399	-	-	-	MI0000483	hsa-mir-186	-1.936	-2.084	-1.487	-1.191	-1.506	-1.891	-2.277	-0.497	-1.2	-1.454	-1.24	-2.063	-0.531	-1.041	-1.529	-0.774	-0.948	-1.762	-0.835	0.643	-1.241	-1.346	-1.407	-1.818	-1.454	-1.582	-0.553	-1.398	-0.774	-1.377	0.146	-2.138	-2.241	-3.013	-2.142	-1.337	-2.883	-1.681	-1.029	-0.715	-1.078	-0.424	-1.92	-0.914	-1.448	-1.697	-2.383	-1.988	-3.045	-2.594	-0.859	-1.12	-2.2	-2.661	-2.835	-1.279	-1.458	-2.51	-1.136	-1.729
hsa-miR-760	-	-	1	94312388	94312467	-	-	-	MI0005567	hsa-mir-760	-4.002	-3.529	-4.41	-1.618	-3.412	-2.899	-2.214	-3.862	-4.306	-3.698	-2.981	-3.647	-3.421	-2.938	-3.325	-4.116	-3.687	-2.79	-0.955	-2.166	-1.38	-3.201	-2.905	-2.26	-1.839	-3.345	-2.459	-3.673	-2.607	-3.213	-3.36	-1.884	-3.228	-3.532	-2.891	-4.328	-3.497	-3.606	-3.605	-3.916	-4.285	-2.145	-3.903	-2.1	-3.07	-3.454	-3.785	-2.428	-3.045	-3.929	-3.366	-2.676	-3.624	-2.894	-1.946	-2.799	-3.496	-2.824	-3.162	-2.09
hsa-miR-137	-	-	1	98511626	98511727	-	-	-	MI0000454	hsa-mir-137	-4.002	-3.485	0.847	-0.215	-3.412	0.491	-3.093	-0.421	-1.481	-1.655	-3.202	-3.647	-3.615	-3.398	-3.453	-4.116	-3.687	-4.388	-3.545	-3.167	-1.38	-3.201	-2.905	-2.148	-0.128	-3.345	-3.98	-3.673	-2.607	-3.213	-3.36	-3.306	-3.05	-3.532	-0.649	-0.292	-0.773	-3.606	-4.374	-3.916	-0.543	-3.176	1.915	-4.028	-3.07	-3.454	-3.785	-3.661	-0.062	-3.929	-3.366	-4.34	-3.624	-2.894	-3.962	-0.139	-3.496	0.163	-3.162	-0.889
hsa-miR-197	-	-	1	110141515	110141589	-	-	-	MI0000239	hsa-mir-197	-0.097	0.418	-0.343	-0.407	0.55	-0.493	-0.251	-0.284	-0.696	-0.181	-0.404	-0.59	-0.38	-0.217	-0.541	-0.717	-0.922	-0.716	-0.42	0.331	2.25	0.144	0.096	0.52	-0.955	0.074	-0.703	1.316	1.028	0.377	0.124	-0.872	0.241	0.749	-0.053	-0.169	-0.455	0.155	-0.986	0.845	-0.118	-0.312	0.38	-1.119	0.438	1.094	-0.134	0.219	0.877	0.423	0.71	-1.292	1.324	0.464	0.001	-0.948	0.916	-1.117	0.401	-1.224
hsa-miR-92b	-	-	1	155164968	155165063	-	-	-	MI0003560	hsa-mir-92b	-3.816	-3.529	-4.41	-3.259	-3.407	-3.639	-3.093	-3.862	-4.306	-1.948	-3.202	-3.647	-3.615	-3.398	-3.453	-4.116	-3.687	-4.388	-3.545	-3.167	-1.38	-3.201	-2.905	-2.26	-4.257	-3.345	-3.98	-3.673	-2.607	-3.213	-3.36	-4.655	-3.228	-2.522	-2.891	-4.104	-3.497	-3.606	-4.374	-3.916	-4.285	-3.176	-2.859	-4.028	-3.07	-3.454	-3.785	-3.661	-3.045	-3.929	-3.366	-4.233	-3.624	-2.894	-3.962	-3.997	-3.496	-4.224	-3.162	-3.998
hsa-miR-9	-	-	1	156390133	156390221	-	-	-	MI0000466	hsa-mir-9-1	-2.548	-3.529	-4.41	-3.802	-3.412	0.24	3.921	-3.862	-1.278	5.238	3.618	-3.647	-0.459	-0.25	-3.453	-4.116	-3.687	0.963	0.19	0.005	-1.38	-3.201	-2.905	-2.054	-3.244	-3.345	0.29	-0.457	-1.671	-2.153	-1.87	-1.88	-1.429	-2.178	-2.891	-1.918	-3.272	-3.606	-4.374	-1.09	1.773	0.405	-1.047	-2.314	-3.07	-3.454	-3.785	0.082	-3.045	-1.795	0.713	-1.227	-2.778	-2.894	-3.962	-3.788	-3.496	-3.489	-3.162	-3.998
hsa-miR-9*	-	-	1	156390133	156390221	-	-	-	MI0000466	hsa-mir-9-1	-3.082	-3.529	-4.41	-3.802	-3.412	-1.032	2.881	-3.862	-1.942	4.445	2.409	-3.647	0.074	-0.607	-3.453	-4.116	-3.687	0.004	-1.147	-2.224	-1.38	-2.946	-1.892	-0.96	-4.257	-3.345	-1.011	0.111	-0.83	-1.422	-0.591	-3.025	-0.259	-1.14	-2.891	-2.484	-3.164	-3.606	-4.374	-1.269	2.93	0.103	-1.234	-4.028	-3.07	-3.454	-3.785	-0.985	-3.045	-0.078	0.991	-3.019	-2.512	-2.894	-3.962	-4.513	-3.496	-4.549	-3.162	-3.998
hsa-miR-765	-	-	1	156905923	156906036	-	-	-	MI0005116	hsa-mir-765	-3.894	-3.488	-4.161	-1.355	-3.317	-2.606	-2.371	-3.561	-4.095	-3.341	-3.005	-3.14	-2.907	-3.256	-3.122	-3.897	-3.687	-2.483	0.3	-1.877	-1.38	-3.145	-0.891	-1.281	-2.298	-3.345	-2.541	-3.673	-2.607	-3.213	-3.36	-2.309	-3.228	-3.532	-2.891	-3.448	-3.477	-3.15	-2.969	-3.916	-4.285	-1.622	-3.903	-2.691	-3.07	-3.454	-3.785	-1.604	-3.045	-3.929	-3.366	-2.652	-3.624	-2.894	-1.997	-3.61	-3.344	-2.52	-3.162	-2.782
hsa-miR-557	-	-	1	168344762	168344859	-	-	-	MI0003563	hsa-mir-557	-4.002	-3.529	-4.41	-2.937	-3.412	-3.639	-3.093	-3.862	-4.306	-3.698	-3.202	-3.647	-3.615	-3.398	-3.453	-4.116	-3.687	-4.388	-2.166	-3.167	-1.106	-3.201	-1.744	-2.26	-2.894	-3.345	-3.98	-3.673	-2.607	-3.038	-3.36	-3.39	-3.228	-2.539	-2.891	-4.328	-3.497	-3.606	-4.374	-3.916	-4.285	-3.176	-3.634	-4.028	-3.07	-3.447	-3.785	-3.62	-3.045	-3.929	-3.366	-4.252	-3.578	-2.894	-3.07	-4.133	-3.496	-4.294	-3.162	-3.998
hsa-miR-181b	-	-	1	198828002	198828111	-	-	-	MI0000270	hsa-mir-181b-1	2.06	1.749	0.83	-0.887	1.66	0.904	1.302	1.249	0.963	2.105	1.465	0.262	-1.253	-0.969	-1.889	0.39	0.258	0.679	3.921	3.596	-0.654	3.51	-0.735	0.91	1.119	0.865	1.034	2.309	1.058	0.442	1.175	1.127	0.347	-0.011	-0.7	0.836	1.476	1.044	1.414	0.632	1.909	-0.24	0.963	-2.266	0.191	0.069	0.24	0.632	1.359	0.947	0.148	0.224	0.746	0.682	1.805	1.672	0.865	0.768	0.811	1.612
hsa-miR-181a	-	-	1	198828173	198828282	-	-	-	MI0000289	hsa-mir-181a-1	2.309	2.48	1.319	-0.981	1.797	1.379	1.417	1.66	1.774	2.173	1.654	0.907	-1.168	-0.451	-1.274	1.834	0.948	0.733	4.179	4.4	-1.38	4.553	-0.915	1.232	1.311	1.434	1.034	3.313	0.99	0.603	1.442	1.184	0.56	0.07	-1.364	1.673	2.363	2.109	2.146	1.161	2.972	-0.529	1.436	-2.55	0.364	0.629	0.578	0.433	2.025	1.658	0.833	0.342	0.437	1.256	1.824	1.851	0.885	0.45	1.935	1.484
hsa-miR-181a*	-	-	1	198828173	198828282	-	-	-	MI0000289	hsa-mir-181a-1	-1.452	-0.767	-1.812	-3.802	-2.594	-2.532	-1.274	-2.197	-1.979	-1.544	-1.512	-3.506	-3.615	-2.883	-3.453	-2.042	-2.306	-2.276	1.81	0.908	-1.38	1.561	-2.905	-1.615	-1.485	-3.345	-1.276	-1.349	-2.607	-3.213	-3.349	-1.7	-2.15	-1.82	-2.891	-2.995	-1.185	-1.033	-2.759	-2.996	-1.608	-3.066	-3.903	-4.028	-3.07	-3.454	-3.3	-3.661	-2.264	-2.943	-3.366	-3.868	-2.91	-2.873	-1.595	-0.593	-2.687	-4.025	-1.742	-1.725
hsa-miR-135b	-	-	1	205417430	205417526	-	-	-	MI0000810	hsa-mir-135b	1.718	-0.574	-2.982	2.147	-3.412	-3.639	-0.006	-3.051	0.649	1.786	2.699	3.281	2.171	1.15	-1.647	-0.095	-0.443	2.027	-3.545	-3.167	-0.409	-3.201	-2.905	3.352	-2.238	0.155	0.589	-0.881	-2.384	-0.081	-0.772	-0.374	-1.622	-1.989	-2.891	-1.756	-1.959	0.697	0.684	-3.916	2.557	-3.091	-3.903	2.733	0.038	2.03	1.215	-1.119	0.256	-1.581	-1.951	0.945	-0.7	-0.263	-0.525	0.213	-1.973	-1.04	-0.42	-0.718
hsa-miR-29c	-	-	1	207975197	207975284	-	-	-	MI0000735	hsa-mir-29c	1.65	4.046	1.639	1.601	4.115	2.816	2.652	1.394	1.698	2.797	2.277	3.348	2.777	2.5	2.76	2.357	2.415	3.009	3.721	3.517	1.09	5.398	4.304	4.589	3.626	2.791	2.735	1.918	2.097	1.986	1.784	1.832	1.771	1.914	2.985	2.41	2.753	4.045	2.669	2.055	1.449	2.895	1.269	1.052	0.038	0.833	2.444	3.947	2.611	2.014	3.031	4.09	1.483	2.85	4.231	3.176	2.112	3.774	2.738	3.853
hsa-miR-29c*	-	-	1	207975197	207975284	-	-	-	MI0000735	hsa-mir-29c	-3.882	-3.18	-4.41	-3.802	-1.315	-3.639	-3.093	-3.862	-4.007	-3.301	-3.202	-2.815	-3.463	-3.398	-3.453	-3.492	-3.438	-4.388	-1.003	-1.824	-1.278	-0.825	-1.553	-1.606	-4.257	-3.111	-3.98	-3.473	-2.607	-3.213	-3.337	-4.507	-3.228	-2.414	-2.622	-3.643	-3.497	-3.422	-3.468	-3.916	-4.285	-2.96	-3.321	-4.028	-3.07	-3.24	-3.445	-3.661	-3.045	-3.552	-2.868	-4.34	-3.624	-2.894	-3.962	-3.814	-3.496	-4.14	-3.105	-3.971
hsa-miR-29b	-	-	1	207975788	207975868	-	-	-	MI0000107	hsa-mir-29b-2	2.292	6.461	3.276	3.815	3.471	4.831	4.581	1.8	2.104	3.897	3.739	4.523	5.077	5.151	5.205	4.636	4.789	4.97	1.849	3.054	1.35	2.565	4.244	4.042	5.83	6.234	4.524	5.42	6.125	5.756	5.84	3.602	5.442	5.719	4.825	3.483	5.023	6.561	3.809	4.864	3.037	3.933	2.455	2.2	-0.952	3.662	5.189	5.977	3.471	5.732	4.532	5.644	3.257	4.375	5.704	4.07	3.644	5.228	5.405	5.206
hsa-miR-205	-	-	1	209605478	209605587	-	-	-	MI0000285	hsa-mir-205	-0.595	-3.529	-4.41	-3.802	3.307	-3.639	-3.093	-3.862	-4.306	-1.505	-3.202	-3.647	-3.615	-3.398	-3.453	4.103	-3.687	-4.388	-3.545	-3.167	-1.38	-3.201	-2.905	-2.26	-4.257	-3.345	-3.98	-3.673	-2.607	-3.213	-3.36	-4.655	-3.228	-3.332	-2.891	-4.328	-3.497	-3.606	-4.374	-3.916	5.805	-3.176	-3.903	-4.028	0.137	-0.283	-3.785	-3.661	-3.045	-3.929	-3.366	-4.34	-3.624	-2.894	-3.962	-4.513	-3.496	-4.549	-3.162	-3.998
hsa-miR-215	-	-	1	220291195	220291304	-	-	-	MI0000291	hsa-mir-215	-3.301	-3.065	-4.41	-3.802	-2.093	-3.639	-2.152	-3.862	-4.306	-3.698	-3.202	4.046	4.284	-3.398	-1.938	2.249	4.522	1.988	-3.545	-3.167	-1.38	-3.201	-2.905	-2.26	-3.616	-3.345	-2.555	-3.673	-2.607	-3.213	-3.36	-4.452	-3.228	-3.088	-0.728	-3.827	-3.104	-2.914	-2.842	-3.584	-4.285	-2.931	-3.678	-2.404	-3.07	-3.454	-0.016	-3.251	-3.045	-3.929	-3.366	-2.044	-3.624	-2.894	0.045	-3.038	-3.496	-4.549	-0.999	-3.172
hsa-miR-194	-	-	1	220291499	220291583	-	-	-	MI0000488	hsa-mir-194-1	-2.365	-2.945	-4.41	-3.802	-1.502	-3.639	-2.132	-3.862	-4.253	-3.698	-3.202	4.762	4.655	-3.398	-1.542	3.244	4.905	2.195	-3.545	-3.167	-1.38	-3.201	-2.905	-2.26	-4.052	-3.345	-2.391	-3.673	-2.607	-3.213	-3.36	-4.162	-3.086	-3.033	-0.536	-3.502	-2.751	-2.575	-1.985	-3.211	-4.208	-3.176	-3.292	-2.332	-3.07	-3.454	0.986	-3.057	-3.006	-2.613	-2.884	-2.21	-3.624	-2.894	-0.128	-3.141	-3.496	-4.549	-0.056	-3.149
hsa-miR-128	-	-	2	136423017	136423037	-	-	-	MI0000447	hsa-mir-128-1	1.051	0.095	-0.051	-0.935	0.738	-0.48	-0.406	0.113	-0.413	0.686	0.152	-0.155	0.861	0.636	0.52	-0.078	0.841	0.723	3.89	1.352	0.948	4.838	1.291	0.77	-0.448	1.307	-0.415	-0.823	0.654	0.155	0.591	0.929	-0.048	-0.398	0.212	0.441	0.32	-0.308	0.4	1.495	0.898	-0.486	0.574	0.652	0.872	0.955	0.354	-0.137	0.892	0.444	1.111	0.338	0.173	-0.769	-0.626	-1.15	0.627	-0.081	-0.267	-0.784
hsa-miR-933	-	-	2	176032369	176032390	-	-	-	MI0005755	hsa-mir-933	-4.002	-3.529	-4.41	-3.802	-3.412	-3.639	-3.093	-3.862	-4.306	-3.698	-3.202	-3.647	-3.615	-3.398	-3.453	-4.116	-3.687	-4.388	-3.383	-3.167	-1.38	-3.201	-2.905	-2.26	-4.031	-3.345	-3.857	-3.673	-2.607	-3.213	-3.36	-4.379	-3.228	-3.532	-2.891	-4.328	-3.497	-3.606	-4.374	-3.916	-4.285	-3.176	-3.903	-3.984	-3.07	-3.454	-3.785	-3.661	-3.045	-3.929	-3.366	-4.166	-3.624	-2.894	-3.408	-4.293	-3.496	-4.274	-3.162	-3.949
hsa-miR-10b	-	-	2	177015058	177015080	-	-	-	MI0000267	hsa-mir-10b	-4.002	-2.377	-4.41	-1.885	-2.786	0.664	0.398	1.03	0.877	1.707	0.922	-1.447	-0.077	-1.094	2.176	0.796	1.338	0.083	-3.545	-3.167	-1.322	-3.201	-2.905	-2.26	-2.245	0.639	0.148	-0.408	0.265	-0.177	0.7	0.322	0.316	0.004	-1.651	-0.174	-0.099	-3.606	-3.002	-2.191	-3.959	-3.176	-0.211	3.326	1.629	-2.514	-2.313	-2.653	2.981	-0.671	0.11	-0.994	-0.204	0.722	0.947	0.74	-0.213	2.754	-3.162	-0.221
hsa-miR-26b	-	-	2	219267381	219267401	-	-	-	MI0000084	hsa-mir-26b	3.016	1.912	1.525	0.244	2.966	1.628	1.125	1.592	1.282	1.947	1.201	2.597	2.496	1.606	2.791	2.378	2.257	2.404	2.937	3.773	1.419	2.078	1.725	1.673	1.883	1.577	2.087	1.236	1.528	0.519	1.346	1.188	1.409	1.093	1.466	2.25	2.441	1.402	0.628	3.718	3.009	0.91	2.857	2.35	0.819	1.758	1.782	1.553	2.162	1.026	2.551	1.802	0.332	0.482	1.474	0.866	0.368	2.481	1.328	0.715
hsa-miR-375	-	-	2	219866369	219866390	-	-	-	MI0000783	hsa-mir-375	2.349	-3.529	-4.41	-3.802	1.958	-3.639	-3.093	-3.862	-4.306	-3.698	-3.202	-2.443	-1.864	-3.235	0.851	-0.32	-2.192	2.61	-3.545	-3.167	-1.38	-3.201	-2.905	-2.26	-4.257	-3.345	-3.98	-3.673	-2.607	-3.213	-3.36	-4.655	-3.228	-3.532	-2.891	-2.135	-3.497	-3.606	-4.374	-3.721	-4.285	-3.176	-3.903	-4.028	-3.07	-3.454	-3.785	-3.661	-3.006	-3.929	-1.66	-4.34	-3.624	-2.894	-3.962	-4.513	-3.496	-4.549	-3.162	-3.998
hsa-miR-153	-	-	2	220158847	220158868	-	-	-	MI0000463	hsa-mir-153-1	-4.002	-3.529	-4.41	-3.802	-3.412	-3.639	-3.093	-3.862	-4.098	-2.686	-3.202	-2.171	-3.615	-2.154	-3.453	-4.116	-3.687	-0.546	-0.598	-3.167	-1.38	0.793	-2.905	-1.772	-4.257	-3.345	-3.98	-3.673	-2.607	-3.213	-3.36	-4.655	-3.228	-3.532	-2.891	-4.328	-3.497	-3.606	-4.374	-1.902	-4.285	-2.642	-3.903	-4.028	-3.07	-3.454	-3.785	-1.434	-3.045	-1.706	-2.322	-4.34	-3.624	-2.894	-3.962	-4.513	-3.496	-3.271	-3.162	-3.998
hsa-miR-149	-	-	2	241395433	241395455	-	-	-	MI0000478	hsa-mir-149	-2.166	-2.017	-1.91	-2.554	1.472	-0.316	-1.178	-1.942	-1.883	-0.029	-1.477	-3.647	-3.615	-0.575	-0.712	-2.788	-3.674	-1.093	-3.545	-3.167	-0.904	-3.201	-1.872	-2.26	-4.257	-3.345	-3.131	-3.353	-2.607	-3.213	-3.346	-1.841	-3.07	-1.558	-1.226	-1.099	0.12	-1.12	-0.364	-1.876	0.42	0.323	0.715	-0.138	-0.422	-0.168	-0.454	-0.604	-0.653	-0.599	-1.729	-1.598	-1.935	-1.055	-2.632	-3.319	-1.281	-0.182	-0.792	-2.41
