	ID	Name	Parameter	Reference
number_genomic_gains	number_genomic_gains	number of genomic gains.	Genomic instability	"Varma et al, 2014, PLOS ONE, Table 1"
number_genomic_losses	number_genomic_losses	number of genomic losses.	Genomic instability	"Varma et al, 2014, PLOS ONE, Table 1"
number_genomic_gains_or_losses	number_genomic_gains_or_losses	number of genomic gains or losses.	Genomic instability	"Varma et al, 2014, PLOS ONE, Table 1"
number_amino_acid_changing_genetic_variants_not_in_either_ESP5400_or_1000G	number_amino_acid_changing_genetic_variants_not_in_either_ESP5400_or_1000G	 Total number of amino acid changing genetic variants not in either the ESP5400 or 1000 Genomes	Genomic instability	"Reinhold et al, 2014, PLOS ONE"
number_amino_acid_changing_genetic_variants_present_in_either_ESP5400_or_1000G	number_amino_acid_changing_genetic_variants_present_in_either_ESP5400_or_1000G	Total number of amino acid changing genetic variants present in either the ESP5400 or 1000 Genomes	Genomic instability	"Reinhold et al, 2014, PLOS ONE"
gammaH2AX	gammaH2AX	gammaH2AX		
Total_H2AX	Total_H2AX	Total_H2AX		
Ratio_gX_TotX	Ratio_gX_TotX	Ratio_gX_TotX		
Microsatellite_instability	Microsatellite_instability	Microsatellite instability	Genomic instability	"Abaan et al, 2013, Cancer Res (Figure 1A)."
Pan_compound_response	Pan_compound_response	Pan compound response	Drug response phenotype	"Reinhold et al, 2014, PLOS ONE (figure 4B)"
CDH1_transcript.expression	CDH1_transcript.expression	E-cadherin (CDH1) transcript expression.	Epithelial marker	Gene transcript z-scores from cellminer http://discover.nci.nih.gov/cellminer
CLD3_transcript.expression	CLD3_transcript.expression	Claudin 3 (CLD3) transcript expression.	Epithelial marker	Gene transcript z-scores from cellminer http://discover.nci.nih.gov/cellminer
CLD4_transcript.expression	CLD4_transcript.expression	Claudin 4 (CLD4) transcript expression.	Epithelial marker	Gene transcript z-scores from cellminer http://discover.nci.nih.gov/cellminer
Vimentin_transcript_expression	Vimentin_transcript_expression	Vimentin transcript expression.	Mesenchymal marker	Gene transcript z-scores from cellminer http://discover.nci.nih.gov/cellminer
MSN_transcript.expression	MSN_transcript.expression	Moesin (MSN) transcript expression.	Mesenchymal marker	Gene transcript z-scores from cellminer http://discover.nci.nih.gov/cellminer
CDH2_transcript.expression	CDH2_transcript.expression	N-cadherin (CDH2) transcript expression	Mesenchymal marker	Gene transcript z-scores from cellminer http://discover.nci.nih.gov/cellminer
FN1_transcript.expression	FN1_transcript.expression	Fibronectin 1 (FN1)  transcript expression	Mesenchymal marker	Gene transcript z-scores from cellminer http://discover.nci.nih.gov/cellminer
SMAD4_transcript_expression	SMAD4_transcript_expression	SMAD4 transcript expression	Mesenchymal marker	Gene transcript z-scores from cellminer http://discover.nci.nih.gov/cellminer
SNAI1_transcript_expression	SNAI1_transcript_expression	SNAI1 transcript expression	Mesenchymal marker	Gene transcript z-scores from cellminer http://discover.nci.nih.gov/cellminer
AXL_.transcript_expression	AXL_.transcript_expression	AXL receptor tyrosine kinase (AXL) transcript expression (pro-migration). 	Migration marker	Gene transcript z-scores from cellminer http://discover.nci.nih.gov/cellminer
CAV1_transcript_expression	CAV1_transcript_expression	Caveolin 1 (CAV1) transcript expression (pro-migration). 	Migration marker	Gene transcript z-scores from cellminer http://discover.nci.nih.gov/cellminer
CDH1_protein_expression	CDH1_protein_expression	E-cadherin (CDH1) protein expression measured by antibody CDH1_21.	Epithelial marker	protein mean values from cellminer http://discover.nci.nih.gov/cellminer
Vimentin_protein_expression	Vimentin_protein_expression	Vimentin protein expression.	Mesenchymal marker	"Stinson and Boyd et al., Anticancer Res. 1992 (table III)"
