ROWNAME	Name	TissueType	DataSource	OncoTree1	OncoTree2	OncoTree3	OncoTree4
67	42-MG-BA	central_nervous_system: astrocytoma_Grade_IV	CCLE	Brain_CNS	Diffuse Glioma (DIFG)	Astrocytoma (ASTR)	NA
68	5637	urinary_tract: carcinoma	CCLE	Bladder_Urinary_Tract	NA	NA	NA
69	59M	ovary: carcinoma	CCLE	Ovary	Ovarian Epithelial Tumor (OVT)	NA	NA
70	639-V	urinary_tract: transitional_cell_carcinoma	CCLE	Bladder_Urinary_Tract	Bladder Urothelial Carcinoma (BLCA)	NA	NA
71	647-V	urinary_tract: transitional_cell_carcinoma	CCLE	Bladder_Urinary_Tract	Bladder Urothelial Carcinoma (BLCA)	NA	NA
72	697	haematopoietic_and_lymphoid_tissue: acute_lymphoblastic_B_cell_leukaemia	CCLE	Blood	Leukemia (LEUK)	Acute Lymphoid Leukemia (ALL)	NA
73	769-P	kidney: clear_cell_renal_cell_carcinoma	CCLE	Kidney	Renal Cell Carcinoma (RCC)	Renal Clear Cell Carcinoma (CCRCC)	NA
74	786-O	kidney: clear_cell_renal_cell_carcinoma	CCLE	Kidney	Renal Cell Carcinoma (RCC)	Renal Clear Cell Carcinoma (CCRCC)	NA
75	8-MG-BA	central_nervous_system: astrocytoma_Grade_IV	CCLE	Brain_CNS	Diffuse Glioma (DIFG)	Astrocytoma (ASTR)	NA
76	8305C	thyroid: anaplastic_carcinoma	CCLE	Thyroid	Anaplastic Thyroid Cancer (THAP)	NA	NA
77	8505C	thyroid: anaplastic_carcinoma	CCLE	Thyroid	Anaplastic Thyroid Cancer (THAP)	NA	NA
78	A-204	soft_tissue: rhabdoid_tumour	CCLE	Soft_Tissue	NA	NA	NA
79	A-253	salivary_gland: mucoepidermoid_carcinoma	CCLE	Head_Neck	Salivary Carcinoma (SACA)	Mucoepidermoid Carcinoma (MUCC)	NA
80	A-375	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
81	A-498	kidney: renal_cell_carcinoma	CCLE	Kidney	Renal Cell Carcinoma (RCC)	NA	NA
82	A-673	bone: Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	CCLE	Bone	Ewing Sarcoma (ES)	NA	NA
83	A-704	kidney: renal_cell_carcinoma	CCLE	Kidney	Renal Cell Carcinoma (RCC)	NA	NA
84	A101D	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
85	A1207	central_nervous_system: glioma	CCLE	Brain_CNS	NA	NA	NA
86	A172	central_nervous_system: astrocytoma_Grade_IV	CCLE	Brain_CNS	Diffuse Glioma (DIFG)	Astrocytoma (ASTR)	NA
87	A2058	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
88	A2780	ovary: adenocarcinoma	CCLE	Ovary	Ovarian Epithelial Tumor (OVT)	NA	NA
89	A3/KAW	haematopoietic_and_lymphoid_tissue: diffuse_large_B_cell_lymphoma	CCLE	Lymph	Non-Hodgkin's Lymphoma (NHL)	B-Cell Lymphoma (BCL)	Diffuse Large B-Cell Lymphoma (DLBCL)
90	A4/Fuk	haematopoietic_and_lymphoid_tissue: diffuse_large_B_cell_lymphoma	CCLE	Lymph	Non-Hodgkin's Lymphoma (NHL)	B-Cell Lymphoma (BCL)	Diffuse Large B-Cell Lymphoma (DLBCL)
91	A549	lung: non_small_cell_carcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	NA	NA
92	ABC-1	lung: non_small_cell_carcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	NA	NA
93	ACC-MESO-1	pleura: mesothelioma	CCLE	Mesothelium	Mesothelioma (MESO)	NA	NA
94	ACHN	kidney: renal_cell_carcinoma	CCLE	Kidney	Renal Cell Carcinoma (RCC)	NA	NA
95	AGS	stomach: adenocarcinoma	CCLE	Esophagus_Stomach	Esophagogastric Adenocarcinoma (EGC)	Stomach Adenocarcinoma (STAD)	NA
96	Alexander cells	liver: hepatocellular_carcinoma	CCLE	Liver	Hepatocellular Carcinoma (HCC)	NA	NA
97	ALL-SIL	haematopoietic_and_lymphoid_tissue: acute_lymphoblastic_T_cell_leukaemia	CCLE	Blood	Leukemia (LEUK)	Acute Lymphoid Leukemia (ALL)	NA
98	AM-38	central_nervous_system: astrocytoma_Grade_IV	CCLE	Brain_CNS	Diffuse Glioma (DIFG)	Astrocytoma (ASTR)	NA
99	AML-193	haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia	CCLE	Blood	Leukemia (LEUK)	Acute Myeloid Leukemia (AML)	NA
100	AMO-1	haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma	CCLE	Blood	Multiple Myeloma (MM)	NA	NA
101	AN3 CA	endometrium: adenocarcinoma	CCLE	Uterus	Endometrial Carcinoma (UCEC)	NA	NA
102	AsPC-1	pancreas: ductal_carcinoma	CCLE	Pancreas	Pancreatic Adenocarcinoma (PAAD)	NA	NA
103	AU565	breast: carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	NA	NA
104	AZ-521	stomach: carcinoma	CCLE	Esophagus_Stomach	NA	NA	NA
105	B-CPAP	thyroid: papillary_carcinoma	CCLE	Thyroid	Papillary Thyroid Cancer (THPA)	NA	NA
106	BC-3C	urinary_tract: transitional_cell_carcinoma	CCLE	Bladder_Urinary_Tract	Bladder Urothelial Carcinoma (BLCA)	NA	NA
107	BCP-1	haematopoietic_and_lymphoid_tissue: B_cell_lymphoma_unspecified	CCLE	Lymph	Non-Hodgkin's Lymphoma (NHL)	B-Cell Lymphoma (BCL)	NA
108	BDCM	haematopoietic_and_lymphoid_tissue: acute_lymphoblastic_B_cell_leukaemia	CCLE	Blood	Leukemia (LEUK)	Acute Lymphoid Leukemia (ALL)	NA
109	Becker	central_nervous_system: astrocytoma_Grade_IV	CCLE	Brain_CNS	Diffuse Glioma (DIFG)	Astrocytoma (ASTR)	NA
110	BEN	lung: carcinoma	CCLE	Lung	NA	NA	NA
111	BFTC-905	urinary_tract: transitional_cell_carcinoma	CCLE	Bladder_Urinary_Tract	Bladder Urothelial Carcinoma (BLCA)	NA	NA
112	BFTC-909	kidney: carcinoma	CCLE	Kidney	Renal Cell Carcinoma (RCC)	NA	NA
113	BHT-101	thyroid: anaplastic_carcinoma	CCLE	Thyroid	Anaplastic Thyroid Cancer (THAP)	NA	NA
114	BHY	upper_aerodigestive_tract: squamous_cell_carcinoma	CCLE	Head_Neck	NA	NA	NA
115	BICR 16	upper_aerodigestive_tract: squamous_cell_carcinoma	CCLE	Head_Neck	NA	NA	NA
116	BICR 18	upper_aerodigestive_tract: squamous_cell_carcinoma	CCLE	Head_Neck	NA	NA	NA
117	BICR 22	upper_aerodigestive_tract: squamous_cell_carcinoma	CCLE	Head_Neck	NA	NA	NA
118	BICR 31	upper_aerodigestive_tract: squamous_cell_carcinoma	CCLE	Head_Neck	NA	NA	NA
119	BICR 56	upper_aerodigestive_tract: squamous_cell_carcinoma	CCLE	Head_Neck	NA	NA	NA
120	BICR 6	upper_aerodigestive_tract: squamous_cell_carcinoma	CCLE	Head_Neck	NA	NA	NA
121	BJ hTERT	skin: immortalized_fibroblast	CCLE	Skin	NA	NA	NA
122	BL-41	haematopoietic_and_lymphoid_tissue: Burkitt_lymphoma	CCLE	Lymph	Non-Hodgkin's Lymphoma (NHL)	B-Cell Lymphoma (BCL)	Burkitt Lymphoma (BL)
123	BL-70	haematopoietic_and_lymphoid_tissue: Burkitt_lymphoma	CCLE	Lymph	Non-Hodgkin's Lymphoma (NHL)	B-Cell Lymphoma (BCL)	Burkitt Lymphoma (BL)
124	BT-20	breast: ductal_carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)	NA
125	BT-474	breast: ductal_carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)	NA
126	BT-483	breast: ductal_carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)	NA
127	BT-549	breast: ductal_carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)	NA
128	BV-173	haematopoietic_and_lymphoid_tissue: blast_phase_chronic_myeloid_leukaemia	CCLE	Blood	Leukemia (LEUK)	Chronic Myelogenous Leukemia (CML)	NA
129	BxPC-3	pancreas: ductal_carcinoma	CCLE	Pancreas	Pancreatic Adenocarcinoma (PAAD)	NA	NA
130	C2BBe1	large_intestine: adenocarcinoma	CCLE	Bowel	Colorectal Adenocarcinoma (COADREAD)	NA	NA
131	C32	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
132	C3A	liver: hepatocellular_carcinoma	CCLE	Liver	Hepatocellular Carcinoma (HCC)	NA	NA
133	CA46	haematopoietic_and_lymphoid_tissue: Burkitt_lymphoma	CCLE	Lymph	Non-Hodgkin's Lymphoma (NHL)	B-Cell Lymphoma (BCL)	Burkitt Lymphoma (BL)
134	CADO-ES1	bone: Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	CCLE	Bone	Ewing Sarcoma (ES)	NA	NA
135	Caki-1	kidney: clear_cell_renal_cell_carcinoma	CCLE	Kidney	Renal Cell Carcinoma (RCC)	Renal Clear Cell Carcinoma (CCRCC)	NA
136	Caki-2	kidney: clear_cell_renal_cell_carcinoma	CCLE	Kidney	Renal Cell Carcinoma (RCC)	Renal Clear Cell Carcinoma (CCRCC)	NA
137	CAL 27	upper_aerodigestive_tract: squamous_cell_carcinoma	CCLE	Head_Neck	NA	NA	NA
138	CAL-120	breast: carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	NA	NA
139	CAL-12T	lung: non_small_cell_carcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	NA	NA
140	CAL-148	breast: ductal_carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)	NA
141	CAL-29	urinary_tract: transitional_cell_carcinoma	CCLE	Bladder_Urinary_Tract	Bladder Urothelial Carcinoma (BLCA)	NA	NA
142	CAL-33	upper_aerodigestive_tract: squamous_cell_carcinoma	CCLE	Head_Neck	NA	NA	NA
143	CAL-51	breast: carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	NA	NA
144	CAL-54	kidney: renal_cell_carcinoma	CCLE	Kidney	Renal Cell Carcinoma (RCC)	NA	NA
145	CAL-62	thyroid: anaplastic_carcinoma	CCLE	Thyroid	Anaplastic Thyroid Cancer (THAP)	NA	NA
146	CAL-78	bone: dedifferentiated	CCLE	Bone	NA	NA	NA
147	CAL-85-1	breast: carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	NA	NA
148	Calu-1	lung: squamous_cell_carcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	Lung Squamous Cell Carcinoma (LUSC)	NA
149	Calu-3	lung: adenocarcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	Lung Adenocarcinoma (LUAD)	NA
150	Calu-6	lung: undifferentiated_carcinoma	CCLE	Lung	NA	NA	NA
151	CAMA-1	breast: carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	NA	NA
152	Caov-3	ovary: adenocarcinoma	CCLE	Ovary	Ovarian Epithelial Tumor (OVT)	NA	NA
153	Caov-4	ovary: adenocarcinoma	CCLE	Ovary	Ovarian Epithelial Tumor (OVT)	NA	NA
154	Capan-1	pancreas: ductal_carcinoma	CCLE	Pancreas	Pancreatic Adenocarcinoma (PAAD)	NA	NA
155	Capan-2	pancreas: ductal_carcinoma	CCLE	Pancreas	Pancreatic Adenocarcinoma (PAAD)	NA	NA
156	CAS-1	central_nervous_system: astrocytoma_Grade_IV	CCLE	Brain_CNS	Diffuse Glioma (DIFG)	Astrocytoma (ASTR)	NA
157	CCF-STTG1	central_nervous_system: astrocytoma	CCLE	Brain_CNS	Diffuse Glioma (DIFG)	Astrocytoma (ASTR)	NA
158	CCK-81	large_intestine: adenocarcinoma	CCLE	Bowel	Colorectal Adenocarcinoma (COADREAD)	NA	NA
159	CFPAC-1	pancreas: ductal_carcinoma	CCLE	Pancreas	Pancreatic Adenocarcinoma (PAAD)	NA	NA
160	CGTH-W-1	thyroid: follicular_carcinoma	CCLE	Thyroid	Follicular Thyroid Cancer (THFO)	NA	NA
161	CH-157MN	central_nervous_system: meningioma	CCLE	Brain_CNS	Meningothelial Tumor (MNGT)	Meningioma (MNG)	NA
162	ChaGo-K-1	lung: carcinoma	CCLE	Lung	NA	NA	NA
163	CHL-1	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
164	CHP-126	autonomic_ganglia: neuroblastoma	CCLE	Brain_CNS	Embryonal Tumor (EMBT)	Neuroblastoma (NBL)	NA
165	CHP-212	autonomic_ganglia: neuroblastoma	CCLE	Brain_CNS	Embryonal Tumor (EMBT)	Neuroblastoma (NBL)	NA
166	CI-1	haematopoietic_and_lymphoid_tissue: B_cell_lymphoma_unspecified	CCLE	Lymph	Non-Hodgkin's Lymphoma (NHL)	B-Cell Lymphoma (BCL)	NA
167	CJM	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
168	CL-11	large_intestine: adenocarcinoma	CCLE	Bowel	Colorectal Adenocarcinoma (COADREAD)	NA	NA
169	CL-14	large_intestine: carcinoma	CCLE	Bowel	NA	NA	NA
170	CL-34	large_intestine: adenocarcinoma	CCLE	Bowel	Colorectal Adenocarcinoma (COADREAD)	NA	NA
171	CL-40	large_intestine: carcinoma	CCLE	Bowel	NA	NA	NA
172	CMK	haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia	CCLE	Blood	Leukemia (LEUK)	Acute Myeloid Leukemia (AML)	NA
173	CMK-11-5	haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia	CCLE	Blood	Leukemia (LEUK)	Acute Myeloid Leukemia (AML)	NA
174	CMK-86	haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia	CCLE	Blood	Leukemia (LEUK)	Acute Myeloid Leukemia (AML)	NA
175	CML-T1	haematopoietic_and_lymphoid_tissue: blast_phase_chronic_myeloid_leukaemia	CCLE	Blood	Leukemia (LEUK)	Chronic Myelogenous Leukemia (CML)	NA
176	COLO 201	large_intestine: adenocarcinoma	CCLE	Bowel	Colorectal Adenocarcinoma (COADREAD)	NA	NA
177	COLO 205	large_intestine: adenocarcinoma	CCLE	Bowel	Colorectal Adenocarcinoma (COADREAD)	NA	NA
178	COLO 668	lung: small_cell_carcinoma	CCLE	Lung	Small Cell Lung Cancer (SCLC)	NA	NA
179	COLO 684	endometrium: adenocarcinoma	CCLE	Uterus	Endometrial Carcinoma (UCEC)	NA	NA
180	COLO 741	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
181	COLO 775	haematopoietic_and_lymphoid_tissue: chronic_myeloid_leukaemia	CCLE	Blood	Leukemia (LEUK)	Chronic Myelogenous Leukemia (CML)	NA
182	COLO 792	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
183	COLO 829	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
184	COLO-320	large_intestine: adenocarcinoma	CCLE	Bowel	Colorectal Adenocarcinoma (COADREAD)	NA	NA
185	COLO-677	haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma	CCLE	Blood	Multiple Myeloma (MM)	NA	NA
186	COLO-678	large_intestine: adenocarcinoma	CCLE	Bowel	Colorectal Adenocarcinoma (COADREAD)	NA	NA
187	COLO-679	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
188	COLO-680N	oesophagus: squamous_cell_carcinoma	CCLE	Esophagus_Stomach	Esophageal Squamous Cell Carcinoma (ESCC)	NA	NA
189	COLO-704	ovary: carcinoma	CCLE	Ovary	Ovarian Epithelial Tumor (OVT)	NA	NA
190	COLO-783	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
191	COLO-800	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
192	COLO-818	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
193	COLO-849	skin: malignant_melanoma	CCLE	Skin	Melanoma (MEL)	NA	NA
194	COR-L105	lung: adenocarcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	Lung Adenocarcinoma (LUAD)	NA
195	COR-L23	lung: large_cell_carcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	NA	NA
196	COR-L24	lung: small_cell_carcinoma	CCLE	Lung	Small Cell Lung Cancer (SCLC)	NA	NA
197	COR-L279	lung: small_cell_carcinoma	CCLE	Lung	Small Cell Lung Cancer (SCLC)	NA	NA
198	COR-L311	lung: small_cell_carcinoma	CCLE	Lung	Small Cell Lung Cancer (SCLC)	NA	NA
199	COR-L47	lung: small_cell_carcinoma	CCLE	Lung	Small Cell Lung Cancer (SCLC)	NA	NA
200	COR-L51	lung: small_cell_carcinoma	CCLE	Lung	Small Cell Lung Cancer (SCLC)	NA	NA
201	COR-L88	lung: small_cell_carcinoma	CCLE	Lung	Small Cell Lung Cancer (SCLC)	NA	NA
202	COR-L95	lung: small_cell_carcinoma	CCLE	Lung	Small Cell Lung Cancer (SCLC)	NA	NA
203	COV318	ovary: carcinoma	CCLE	Ovary	Ovarian Epithelial Tumor (OVT)	NA	NA
204	COV362	ovary: carcinoma	CCLE	Ovary	Ovarian Epithelial Tumor (OVT)	NA	NA
205	COV434	ovary: granulosa_cell_tumour	CCLE	Ovary	Sex Cord Stromal Tumors (SCST)	Granulosa Cell Tumor (GRCT)	NA
206	COV504	ovary: carcinoma	CCLE	Ovary	Ovarian Epithelial Tumor (OVT)	NA	NA
207	COV644	ovary: carcinoma	CCLE	Ovary	Ovarian Epithelial Tumor (OVT)	NA	NA
208	CPC-N	lung: small_cell_carcinoma	CCLE	Lung	Small Cell Lung Cancer (SCLC)	NA	NA
209	CW-2	large_intestine: carcinoma	CCLE	Bowel	NA	NA	NA
210	D283 Med	central_nervous_system: primitive_neuroectodermal_tumour-medulloblastoma	CCLE	Brain_CNS	Embryonal Tumor (EMBT)	Medulloblastoma (MBL)	NA
211	D341 Med	central_nervous_system: primitive_neuroectodermal_tumour-medulloblastoma	CCLE	Brain_CNS	Embryonal Tumor (EMBT)	Medulloblastoma (MBL)	NA
212	DAN-G	pancreas: carcinoma	CCLE	Pancreas	NA	NA	NA
213	Daoy	central_nervous_system: primitive_neuroectodermal_tumour-medulloblastoma	CCLE	Brain_CNS	Embryonal Tumor (EMBT)	Medulloblastoma (MBL)	NA
214	Daudi	haematopoietic_and_lymphoid_tissue: Burkitt_lymphoma	CCLE	Lymph	Non-Hodgkin's Lymphoma (NHL)	B-Cell Lymphoma (BCL)	Burkitt Lymphoma (BL)
215	DB	haematopoietic_and_lymphoid_tissue: diffuse_large_B_cell_lymphoma	CCLE	Lymph	Non-Hodgkin's Lymphoma (NHL)	B-Cell Lymphoma (BCL)	Diffuse Large B-Cell Lymphoma (DLBCL)
216	DBTRG-05MG	central_nervous_system: astrocytoma_Grade_IV	CCLE	Brain_CNS	Diffuse Glioma (DIFG)	Astrocytoma (ASTR)	NA
217	DEL	haematopoietic_and_lymphoid_tissue: lymphoid_neoplasm	CCLE	Lymph	NA	NA	NA
218	Detroit 562	upper_aerodigestive_tract: carcinoma	CCLE	Head_Neck	NA	NA	NA
219	DFCI024	lung: adenocarcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	Lung Adenocarcinoma (LUAD)	NA
220	DK-MG	central_nervous_system: astrocytoma_Grade_IV	CCLE	Brain_CNS	Diffuse Glioma (DIFG)	Astrocytoma (ASTR)	NA
221	DLD-1	large_intestine: adenocarcinoma	CCLE	Bowel	Colorectal Adenocarcinoma (COADREAD)	NA	NA
222	DM-3	pleura: mesothelioma	CCLE	Mesothelium	Mesothelioma (MESO)	NA	NA
223	DMS 114	lung: small_cell_carcinoma	CCLE	Lung	Small Cell Lung Cancer (SCLC)	NA	NA
224	DMS 153	lung: small_cell_carcinoma	CCLE	Lung	Small Cell Lung Cancer (SCLC)	NA	NA
225	DMS 273	lung: small_cell_carcinoma	CCLE	Lung	Small Cell Lung Cancer (SCLC)	NA	NA
226	DMS 454	lung: small_cell_carcinoma	CCLE	Lung	Small Cell Lung Cancer (SCLC)	NA	NA
227	DMS 53	lung: small_cell_carcinoma	CCLE	Lung	Small Cell Lung Cancer (SCLC)	NA	NA
228	DMS 79	lung: small_cell_carcinoma	CCLE	Lung	Small Cell Lung Cancer (SCLC)	NA	NA
229	DND-41	haematopoietic_and_lymphoid_tissue: acute_lymphoblastic_T_cell_leukaemia	CCLE	Blood	Leukemia (LEUK)	Acute Lymphoid Leukemia (ALL)	NA
230	DOHH-2	haematopoietic_and_lymphoid_tissue: diffuse_large_B_cell_lymphoma	CCLE	Lymph	Non-Hodgkin's Lymphoma (NHL)	B-Cell Lymphoma (BCL)	Diffuse Large B-Cell Lymphoma (DLBCL)
231	DU 145	prostate: carcinoma	CCLE	Prostate	NA	NA	NA
232	DU4475	breast: ductal_carcinoma	CCLE	Breast	Breast Carcinoma (BRCA)	Breast Invasive Ductal Carcinoma (IDC)	NA
233	DV-90	lung: adenocarcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	Lung Adenocarcinoma (LUAD)	NA
234	EB1	haematopoietic_and_lymphoid_tissue: Burkitt_lymphoma	CCLE	Lymph	Non-Hodgkin's Lymphoma (NHL)	B-Cell Lymphoma (BCL)	Burkitt Lymphoma (BL)
235	EB2	haematopoietic_and_lymphoid_tissue: Burkitt_lymphoma	CCLE	Lymph	Non-Hodgkin's Lymphoma (NHL)	B-Cell Lymphoma (BCL)	Burkitt Lymphoma (BL)
236	EBC-1	lung: squamous_cell_carcinoma	CCLE	Lung	Non-Small Cell Lung Cancer (NSCLC)	Lung Squamous Cell Carcinoma (LUSC)	NA
237	EC-GI-10	oesophagus: carcinoma	CCLE	Esophagus_Stomach	NA	NA	NA
238	ECC10	stomach: small_cell_adenocarcinoma	CCLE	Esophagus_Stomach	Esophagogastric Adenocarcinoma (EGC)	Stomach Adenocarcinoma (STAD)	NA
239	ECC12	stomach: small_cell_adenocarcinoma	CCLE	Esophagus_Stomach	Esophagogastric Adenocarcinoma (EGC)	Stomach Adenocarcinoma (STAD)	NA
240	EFE-184	endometrium: carcinoma	CCLE	Uterus	Endometrial Carcinoma (UCEC)	NA	NA
