"nsc","prefix","pubchem_id","total_probes","total_good_probes","name","testing_status","smiles","confidential_flag","mechanism"
35027,"S",-1,1,1,"n-Laurylpyridinium chloride",NA,"CCCCCCCCCCCC[n+]1ccccc1",0,NA
35563,"S",-1,1,1,"2,5-Bis(chloromercuri)furan",NA,"Cl[Hg]c1oc([Hg]Cl)cc1",0,NA
35855,"S",-1,1,1,"",NA,"ClC1=C(Nc2ccc3C(=O)c4ccccc4C(=O)c3c2NC5=C(Cl)C(=O)c6ccccc6C5=O)C(=O)c7ccccc7C1=O",0,NA
36359,"S",-1,1,1,"",NA,"Clc1ccc2c(ccc[n+]2CC(=O)c3ccc4CCCCc4c3)c1",0,NA
36408,"S",-1,1,1,"Podophyllotoxin acetate",NA,"COc1cc(cc(OC)c1OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@@H](OC(=O)C)c4cc5OCOc5cc24",0,NA
36755,"S",-1,1,1,".alpha.,.alpha.',.alpha.''-Tripyridyl",NA,"c1ccc(nc1)c2cccc(n2)c3ccccn3",0,NA
37248,"S",-1,1,1,"",NA,"CC(C)CCN(CCC(C)C)CC(=O)Nc1ccc(cc1)S(=O)(=O)c2ccc(NC(=O)CN(CCC(C)C)CCC(C)C)cc2",0,NA
37249,"S",-1,2,2,"",NA,"O=C(CN(C1CCCCC1)C2CCCCC2)Nc3ccc(cc3)S(=O)(=O)c4ccc(NC(=O)CN(C5CCCCC5)C6CCCCC6)cc4",0,NA
37261,"S",-1,2,2,"",NA,"ClCC(=O)Nc1ccc(Cc2ccc(NC(=O)CCl)cc2)cc1",0,NA
37600,"S",-1,1,1,"",NA,"[O-][N+](=O)c1c(ccc2C(=O)c3ccccc3C(=O)c12)C(Br)Br",0,NA
37876,"S",-1,1,1,"",NA,"CN(C)CCCOc1ccc(OCCCN(C)C)c2C(=O)c3ccccc3C(=O)c12",0,NA
37888,"S",-1,2,1,"",NA,"CN(C)CCCOc1ccc(NC2=C(Cl)C(=O)C(=C(Cl)C2=O)Nc3ccc(OCCCN(C)C)cc3)cc1",0,NA
37889,"S",-1,2,2,"",NA,"CN(C)CCCOc1ccccc1NC2=C(Cl)C(=O)C(=C(Cl)C2=O)Nc3ccccc3OCCCN(C)C",0,NA
37895,"S",-1,2,2,"",NA,"CN(C)CCOc1ccccc1NC2=C(Cl)C(=O)C(=C(Cl)C2=O)Nc3ccccc3OCCN(C)C",0,NA
37898,"S",-1,2,2,"",NA,"CN(C)CCOc1cccc(NC2=C(Cl)C(=O)C(=C(Cl)C2=O)Nc3cccc(OCCN(C)C)c3)c1",0,NA
37900,"S",-1,1,1,"",NA,"CN(C)CCCSc1ccccc1NC2=C(Cl)C(=O)C(=C(Cl)C2=O)Nc3ccccc3SCCCN(C)C",0,NA
37901,"S",-1,2,2,"",NA,"CN(C)CCCOc1cccc(NC2=C(Cl)C(=O)C(=C(Cl)C2=O)Nc3cccc(OCCCN(C)C)c3)c1",0,NA
39356,"S",-1,1,1,"",NA,"ClC1=C(NCCCN(CCCNC2=C(Cl)C(=O)c3ccccc3C2=O)C4=C(Cl)C(=O)c5ccccc5C4=O)C(=O)c6ccccc6C1=O",0,NA
39575,"S",-1,1,1,"",NA,"CCCCOC(=O)c1ccc(NC(=O)CCl)cc1",0,NA
41140,"S",-1,1,1,"",NA,"CCN(CC)CCNc1ccc(c2Sc3cc(Cl)ccc3C(=O)c12)[N+](=O)[O-]",0,NA
41880,"S",-1,2,1,"Bi-2,4-cyclopentadien-1-yl, decachloro-",NA,"ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl",0,NA
43223,"S",-1,1,1,"",NA,"Cl[Hg]c1cc(Br)cc(Br)c1",0,NA
45565,"S",-1,1,1,"p-Hydroxy-p-bis azobenzene",NA,"Oc1ccc(cc1)N=Nc2ccc(cc2)N=Nc3ccccc3",0,NA
45831,"S",-1,1,1,"N-benzyl-N,N-dimethyl-2-(2-(4-(2,2,4,4-tetramethylpentyl...",NA,"CC(C)(C)CC(C)(C)Cc1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1",0,NA
48269,"S",-1,1,1,"",NA,"COc1cccc2C(=O)c3ccccc3c12",0,NA
48888,"S",-1,2,2,"",NA,"Sc1cccc2cccnc12",0,NA
76885,"S",-1,1,1,"",NA,"NC1=CC(=O)c2cccnc2C1=O",0,NA
148596,"S",-1,1,1,"1,4-Naphthalenedione, 2-[(2-hydroxyethyl)thio]-",NA,"OCCSC1=CC(=O)c2ccccc2C1=O",0,NA
291094,"S",-1,1,1,"Streptonigrin analog (EtNH)",NA,"CCNC1=CC(=O)c2ncccc2C1=O",0,NA
603072,"S",-1,1,1,"12-nitro-20(s)-camptothecin","","CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5cccc(c5nc34)[N+](=O)[O-])C2=O",0,""
603073,"S",-1,1,1,"12-amino-20(s)-camptothecin","","CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5cccc(N)c5nc34)C2=O",0,""
603074,"S",-1,2,2,"9-nitro-10-methoxy-20(s)-camptothecin","","CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c(c(OC)ccc5nc34)[N+](=O)[O-])C2=O",0,""
603075,"S",-1,2,2,"9-amino-10-methoxy-20(s)-camptothecin","","CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c(N)c(OC)ccc5nc34)C2=O",0,""
603076,"S",-1,2,2,"9-nitro-10-hydroxy-20(s)-camptothecin","","CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c(c(O)ccc5nc34)[N+](=O)[O-])C2=O",0,""
603077,"S",-1,2,2,"9-acetamido-10-hydroxy-20-(s)-camptothecin","","CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c(NC(=O)C)c(O)ccc5nc34)C2=O",0,""
616241,"S",-1,2,2,"antineoplastic-616241","","CCC1(OC(=O)CN)C(=O)OCC2=C1C=C3N(Cc4cc5cc6OCOc6cc5nc34)C2=O",0,""
619230,"S",-1,2,2,"20-amino-20-deoxy-20(rs)-camptothecin","","CCC1(N)C(=O)OCC2=C1C=C3N(Cc4cc5ccccc5nc34)C2=O",0,""
619232,"S",-1,4,4,"9-glycinamido-20(rs)-camptothecin hydrochloride","","CCC1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c(NC(=O)CN)cccc5nc34)C2=O",0,""
620258,"S",-1,3,3,"9-succinamido-20(rs)-camptothecin, sodium salt","","[Na+].CCC1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c(NC(=O)CCC(=O)O)cccc5nc34)C2=O",0,""
621686,"S",-1,3,3,"9-diethylaminoethoxy-20(rs)-camptothecin hydrochloride","","CCN(CC)CCOc1cccc2nc3C4=CC5=C(COC(=O)C5(O)CC)C(=O)N4Cc3cc12",0,""
652524,"S",-1,6,5,"antineoplastic-652524","","CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5cc(N)ccc5nc34)C2=O",0,""
652525,"S",-1,3,3,"antineoplastic-652525","","CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5cc(Cl)ccc5nc34)C2=O",0,""
659548,"S",-1,2,2,"calycopterone","","CO[C@H]1C[C@@H](Oc2c(OC)c(O)c3c(O[C@]45O[C@H](CC=C4C(=O)C(=C(OC)[C@]35OC)OC)c6ccccc6)c12)c7ccccc7",0,""
659549,"S",-1,1,1,"calycopterin","","COC1=C(Oc2cc(OC)c(OC)c(O)c2C1=O)c3ccc(O)cc3",0,""
661254,"S",-1,1,1,"",NA,"",0,NA
665529,"S",-1,2,1,"4-demethylcalycopterone","","COC1=C(OC)[C@]2(OC)c3c(O)c(OC)c4O[C@H](C[C@H](O)c4c3O[C@@]25O[C@H](CC=C5C1=O)c6ccccc6)c7ccccc7",0,""
671899,"S",-1,2,2,"9-amino-20(s)-glycinyl camptothecin hydrochloride","","CC[C@@]1(OC(=O)CN)C(=O)OCC2=C1C=C3N(Cc4cc5c(N)cccc5nc34)C2=O",0,""
671900,"S",-1,2,2,"10,11-Methylenedioxy-20(S)-glycinyl camptothecin hydroch...",NA,"CC[C@@]1(OC(=O)CN)C(=O)OCC2=C1C=C3N(Cc4cc5cc6OCOc6cc5nc34)C2=O",0,NA
671901,"S",-1,2,2,"7-chloromethyl-10,11-methylenedioxy-20(s)-camptothecin","","CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4c(CCl)c5cc6OCOc6cc5nc34)C2=O",0,""
672552,"S",-1,2,2,"antineoplastic-672552","","CC[C@@]1(OC(=O)CN)C(=O)OCC2=C1C=C3N(Cc4cc5c(N)c6OCOc6cc5nc34)C2=O",0,""
672553,"S",-1,2,2,"antineoplastic-672553","","CC[C@@]1(OC(=O)CN)C(=O)OCC2=C1C=C3N(Cc4cc5cc(N)ccc5nc34)C2=O",0,""
673591,"S",-1,2,2,"9-chloro-10,11-methylenedioxy-20(s)-camptothecin","","CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5c(Cl)c6OCOc6cc5nc34)C2=O",0,""
673592,"S",-1,2,2,"7-ethyl-10,11-methylenedioxy-20(s)-camptothecin","","CCc1c2CN3C(=O)C4=C(C=C3c2nc5cc6OCOc6cc15)[C@@](O)(CC)C(=O)OC4",0,""
673593,"S",-1,2,2,"7-ethyl-9-amino-10,11-methylenedioxy-20(s)-camptothecin","","CCc1c2CN3C(=O)C4=C(C=C3c2nc5cc6OCOc6c(N)c15)[C@@](O)(CC)C(=O)OC4",0,""
673594,"S",-1,2,2,"7-methyl-10,11-methylenedioxy-20(s)-camptothecin","","CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4c(C)c5cc6OCOc6cc5nc34)C2=O",0,""
673595,"S",-1,2,2,"7-ethyl-9-amino-20(s)-camptothecin","","CCc1c2CN3C(=O)C4=C(C=C3c2nc5cccc(N)c15)[C@@](O)(CC)C(=O)OC4",0,""
676194,"S",-1,2,2,"7-Ethyl-10,11-methylenedioxy-20(S)-camptothecin-20-glyci...",NA,"CCc1c2CN3C(=O)C4=C(C=C3c2nc5cc6OCOc6cc15)[C@](CC)(OC(=O)CN)C(=O)OC4",0,NA
688687,"S",-1,2,2,"7-Chloromethyl-10,11-methylenedioxy-20(S)-camptothecin-2...",NA,"CC[C@@]1(OC(=O)CN)C(=O)OCC2=C1C=C3N(Cc4c(CCl)c5cc6OCOc6cc5nc34)C2=O",0,NA
722134,"S",-1,1,1,"Sonolisib","Clinical trial","COC[C@H]1OC(=O)\C(=C/N(CC=C)CC=C)\C2=C(O)C(=O)C3=C([C@@H](C[C@@]4(C)[C@H]3CCC4=O)OC(=O)C)[C@@]12C",0,"PK:PIK3"
748403,"S",-1,2,2,";N-(4-methoxyphenyl)-N,5-dimethylfuro[2,3-d]pyrimidin-4-...",NA,"COc1ccc(cc1)N(C)c2ncnc3occ(C)c23",0,NA
751297,"S",-1,1,1,"Y-27632","Clinical trial","C[C@@H](N)[C@@H]1CC[C@H](CC1)C(=O)Nc2ccncc2",0,"RHO"
754344,"S",-1,2,2,"Rigosertib","Clinical trial","COc1cc(OC)c(\C=C\S(=O)(=O)Cc2ccc(OC)c(NCC(=O)O)c2)c(OC)c1",0,"RAS|PK:STK,PLK1"
754345,"S",-1,2,2,"JNJ-28312141","Clinical trial","CN(C)CC(=O)N1CCC(CC1)c2ccc(NC(=O)c3ncc(C#N)[nH]3)c(c2)C4=CCCCC4",0,"PK:YK,CSF1R"
754346,"S",-1,2,2,"AMG-458","Clinical trial","COc1ccc2c(Oc3ccc(NC(=O)C4=C(C)N(CC(C)(C)O)N(C4=O)c5ccccc5)nc3)ccnc2c1",0,"PK:YK,MET"
754348,"S",-1,1,1,"PF-03084014 diastereomer 1","Clinical trial","CCC[C@H](N[C@H]1CCc2cc(F)cc(F)c2C1)C(=O)Nc3cn(cn3)C(C)(C)CNCC(C)(C)C",0,"PSM|APH1|Gamma secretase"
754352,"S",-1,2,2,"CT-MK1775","Clinical trial","CN1CCN(CC1)c2ccc(Nc3ncc4C(=O)N(CC=C)N(c5cccc(n5)C(C)(C)O)c4n3)cc2",0,"PK:STK,YK,WEE1"
754353,"S",-1,2,2,"Buparlisib","Clinical trial","Nc1cc(c(cn1)c2cc(nc(n2)N3CCOCC3)N4CCOCC4)C(F)(F)F",0,"PK:PIK3"
754354,"S",-1,2,2,"GSK-461364","Clinical trial","C[C@@H](Oc1cc(sc1C(=O)N)n2cnc3ccc(CN4CCN(C)CC4)cc23)c5ccccc5C(F)(F)F",0,"PK:STK,PLK1"
754359,"S",-1,2,2,"AEG-40730","Clinical trial","CN[C@@H](C)C(=O)N[C@@H]([C@@H](C)OCC#CC#CCO[C@@H](C)[C@H](NC(=O)C(C)NC)C(=O)N1CCC[C@@H]1CN(CCc2ccccc2)C(=O)C(F)(F)F)C(=O)N3CCC[C@H]3CN(CCc4ccccc4)C(=O)C(F)(F)F",0,"Apo|IAP"
754360,"S",-1,2,2,"MI-219","Clinical trial","CC(C)(C)C[C@H]1NC([C@H](c2cccc(Cl)c2)[C@@]13C(=O)Nc4cc(Cl)c(F)cc34)C(=O)NCC[C@H](O)CO",0,"Apo|MDM2"
754361,"S",-1,2,2,"Astex FGF inhibitor","Clinical trial","Fc1ccc(cc1)c2ccn3c(cnc3c2)c4cccc(NC(=O)NCC(F)(F)F)c4",0,"PK:YK,FGFR"
754365,"S",-1,2,2,"XR-11576","Clinical trial","COc1cccc2c1ccc3nc4cccc(C(=O)N[C@H](C)CN(C)C)c4nc23",0,"T2|T1"
754366,"S",-1,2,2,"XR-5944","Clinical trial","Cc1cccc2nc3cccc(C(=O)NCCNCCNCCNC(=O)c4cccc5nc6cccc(C)c6nc45)c3nc12",0,"T2|T1"
755384,"S",-1,2,2,"Pemetrexed","FDA approved","NC1=NC(=O)c2c(CCc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)c[nH]c2N1",0,"Df|AM|GARTF|DHFR"
755385,"S",-1,2,2,"Pictilisib","Clinical trial","CS(=O)(=O)N1CCN(Cc2cc3nc(nc(N4CCOCC4)c3s2)c5cccc6[nH]ncc56)CC1",0,"PK:PIK3"
755389,"S",-1,2,2,"Bosutinib","FDA approved","COc1cc2c(Nc3cc(Cl)c(OC)c(Cl)c3)c(cnc2cc1OCCCN4CCN(C)CC4)C#N",0,"STAT|BCR-ABL|STAT5A/B|PK:YK,LYN,SRC,HCK"
755606,"S",-1,4,4,"Cediranib","Clinical trial","COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN5CCCC5",0,"PK:YK,VEGF,VEGFR"
755763,"S",-1,2,2,"Pimasertib","Clinical trial","OC[C@@H](O)CNC(=O)c1ccncc1Nc2ccc(I)cc2F",0,"PK:STK,YK,MAP2K,MAP2K1,MAP2K2"
755769,"S",-1,1,1,"LY-294002","Clinical trial","O=C1C=C(Oc2c1cccc2c3ccccc3)N4CCOCC4",0,"PK:PIK3"
755773,"S",-1,1,1,"1,9-Pyrazoleanthrone","Clinical trial","O=C1c2ccccc2c3n[nH]c4cccc1c34",0,"PK:STK,MAPK14,MAPK8"
755926,"S",-1,1,1,"PF-03084014 diastereomer 1","Clinical trial","CCC[C@H](N[C@@H]1CCc2cc(F)cc(F)c2C1)C(=O)Nc3cn(cn3)C(C)(C)CNCC(C)(C)C",0,"PSM|APH1|Gamma secretase"
755980,"S",-1,1,1,"Lenvatinib","FDA approved","COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(=O)N",0,"PK:YK,PDGFR,FGFR,VEGFR,RET"
756083,"S",-1,2,2,"",NA,"OCCN1C2=C(C(c3cccc(Cl)c3)c4cc5OCOc5cc14)C(=O)OC2",0,NA
756084,"S",-1,2,2,"",NA,"OCCN1C2=C(C(c3cccc(Br)c3)c4cc5CCCc5cc14)C(=O)OC2",0,NA
756085,"S",-1,2,2,"",NA,"OCCN1C2=C(C(c3cccc(Cl)c3)c4cc5CCCc5cc14)C(=O)OC2",0,NA
756086,"S",-1,2,2,"",NA,"OCCN1C2=C(C(c3ccc(Cl)c(Cl)c3)c4cc5CCCc5cc14)C(=O)OC2",0,NA
756087,"S",-1,2,2,"",NA,"OCCN1C2=C(C(c3cccc(Br)c3)c4cc5OCCOc5cc14)C(=O)OC2",0,NA
756088,"S",-1,2,2,"",NA,"OCCN1C2=C(C(c3cccc(Cl)c3)c4cc5OCCOc5cc14)C(=O)OC2",0,NA
756089,"S",-1,2,2,"",NA,"OCCN1C2=C(C(c3ccc(Cl)c(Cl)c3)c4cc5OCCOc5cc14)C(=O)OC2",0,NA
756090,"S",-1,2,2,"",NA,"COc1ccc2C(C3=C(COC3=O)N(CCO)c2c1)c4cc(OC)c(OC)c(OC)c4",0,NA
756091,"S",-1,1,1,"",NA,"COc1ccc2C(C3=C(COC3=O)N(CCO)c2c1)c4ccc(OC)c(OC)c4",0,NA
756093,"S",-1,1,1,"",NA,"COc1ccc2C(C3=C(COC3=O)N(CCO)c2c1)c4ccccc4",0,NA
756095,"S",-1,2,2,"",NA,"COc1ccc2C(C3=C(COC3=O)N(CCO)c2c1)c4cccc(Br)c4",0,NA
756106,"S",-1,2,1,"",NA,"CCc1ccc2C(C3=C(COC3=O)N(CCO)c2c1)c4cc(OC)c(OC)c(OC)c4",0,NA
756110,"S",-1,2,2,"",NA,"CCc1ccc2C(C3=C(COC3=O)N(CCO)c2c1)c4cccc(Br)c4",0,NA
756111,"S",-1,2,2,"",NA,"CCc1ccc2C(C3=C(COC3=O)N(CCO)c2c1)c4cccc(Cl)c4",0,NA
756641,"S",-1,2,2,"ICG-001","Clinical trial","Oc1ccc(C[C@@H]2N3[C@H](CN(Cc4cccc5ccccc45)C2=O)N(CCC3=O)C(=O)NCc6ccccc6)cc1",0,"Apo|Wnt|CTNNB1"
756642,"S",-1,2,2,"Entinostat","Clinical trial","Nc1ccccc1NC(=O)c2ccc(CNC(=O)OCc3cccnc3)cc2",0,"HDAC"
756643,"S",-1,2,2,"KX-01","Clinical trial","O=C(Cc1ccc(cn1)c2ccc(OCCN3CCOCC3)cc2)NCc4ccccc4",0,"PK:YK,SRC"
756646,"S",-1,1,1,"IWR-1","Clinical trial","O=C(Nc1cccc2cccnc12)c3ccc(cc3)N4C(=O)[C@H]5[C@@H]6C[C@@H](C=C6)[C@H]5C4=O",0,"Wnt|CTNNB1"
756648,"S",-1,2,2,"AZD-1480","Clinical trial","C[C@H](Nc1ncc(Cl)c(Nc2cc(C)[nH]n2)n1)c3ncc(F)cn3",0,"PK:YK,JAK,JAK2"
756654,"S",-1,1,1,"ZM-336372","Clinical trial","CN(C)c1cccc(c1)C(=O)Nc2ccc(C)c(NC(=O)c3ccc(O)cc3)c2",0,"GTPase|PK:RAF,RAF1"
756659,"S",-1,2,2,"Intedanib","Clinical trial","COC(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(C)C(=O)CN4CCN(C)CC4)/c5ccccc5)\C(=O)Nc2c1",0,"PK:YK,PDGFR,FGFR,VEGFR,FLT3"
756660,"S",-1,1,1,"Quercetin","Clinical trial","OC1=C(Oc2cc(O)cc(O)c2C1=O)c3ccc(O)c(O)c3",0,"T2|AO"
756662,"S",-1,4,4,"SR-13654","Clinical trial","CCOC(=O)c1ccc2[nH]c(Cc3[nH]c4ccc(cc4c3C)C(=O)OCC)c(C)c2c1",0,"BIRC5|PK:YK"
756663,"S",-1,2,2,"Obatoclax","Clinical trial","COC1=CC(=N/C/1=C/c2[nH]c(C)cc2C)c3cc4ccccc4[nH]3",0,"Apo|BCL2"
756876,"S",-1,1,1,"(-)-Nutlin-3","Clinical trial","COc1ccc(C2=N[C@H]([C@H](N2C(=O)N3CCNC(=O)C3)c4ccc(Cl)cc4)c5ccc(Cl)cc5)c(OC(C)C)c1",0,"Apo|MDM2"
756877,"S",-1,1,1,"1st Precursor Intermediate to TDP 665759","Clinical trial","C[C@@H](N1[C@@H](C(=O)Nc2ccc(I)cc2C1=O)c3ccc(Cl)cc3)c4ccc(Cl)cc4[N+](=O)[O-]",0,"Apo|MDM2"
756879,"S",-1,2,2,"Lificguat","Clinical trial","OCc1oc(cc1)c2nn(Cc3ccccc3)c4ccccc24",0,"HYP|HIF1|EPAS1"
757149,"S",-1,2,2,"Volasertib","Clinical trial","CC[C@H]1N(C(C)C)c2nc(Nc3ccc(cc3OC)C(=O)N[C@@H]4CC[C@H](CC4)N5CCN(CC6CC6)CC5)ncc2N(C)C1=O",0,"PK:STK,PLK1"
757334,"S",-1,4,4,"Cpd-401","Clinical trial","CN(C(=O)c1ccc(cc1)C(F)(F)F)c2ccc(Oc3ccc4c(c3)cc(C(=O)N5CCN(Cc6ccc(OC(F)F)cc6)CC5)n4C)nc2",0,"STAT|STAT3"
757437,"S",-1,2,2,"Salinomycin","Clinical trial","CC[C@H]([C@H]1CC[C@H](C)[C@@H](O1)[C@@H](C)[C@H](O)[C@H](C)C(=O)[C@H](CC)[C@H]2O[C@@]3(O[C@@]4(CC[C@](C)(O4)[C@H]5CC[C@](O)(CC)[C@H](C)O5)[C@H](O)C=C3)[C@H](C)C[C@@H]2C)C(=O)O",0,"Apo|Ab|CD133"
757439,"S",-1,2,2,"Neratinib","FDA approved","CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C",0,"PK:YK,EGFR,ERBB2"
757440,"S",-1,2,2,"Deforolimius","Clinical trial","CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(/C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(/C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N4CCCC[C@H]4C(=O)O2)OC)CC[C@H]1OP(=O)(C)C",0,"PK:STK,MTOR"
757444,"S",-1,1,1,"Barasertib","Clinical trial","CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)n[nH]3)ncnc2c1",0,"PK:STK,AURK"
758005,"S",-1,2,2,"Sapitinib","Clinical trial","CNC(=O)CN1CCC(CC1)Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC",0,"PK:YK,EGFR,ERBB2"
758242,"S",-1,4,2,"Tivantinib","Clinical trial","O=C1NC(=O)[C@H]([C@@H]1c2c[nH]c3ccccc23)c4cn5CCCc6cccc4c56",0,"PK:YK,MET"
