nsc	name	testing_status	mechanism
7215	tetraaminoditolylmethane		
7223	chrome black t		
7233	"9,24-Dibromononacyclo[18.10.2.22,5.03,16.04,13.06,11.017,31.022,27.028,32]tetratriaconta-1(31),2,4,6(11),7,9,13,15,17,19,22(27),23,25,28(32),29,33-hexadecaene-12,21-dione"		
7354	6-hydrazinopurine		
7359	xylosyl a		
7364	ddmp		
7365	Diazooxonorleucine		
7376			
7389	phenanthraquinone		
7390			
7420	5-Bromo-3-cyclohexyl-2-hydroxybenzamide		
7436	"sulfanilanilide, 4'-tert-butyl-"		
7519	"BUPHANIDRINE, PERCHLORATE"		
7521	simeon		
7525	transvaalin		
7529	digimed		
7530	strophanthoside-k		
7532	Adigal		
7533	Allocor		
7534	"SCILLIROSIDIN, GLYCOSIDE"		
7535	lanatoside b		
7606	Alantan		
7757	Bornyl cinnamate		
7801	mauve		
7811	Bindschedler's green		
7813	Brilliant Cresyl Blue		
7821	capri blue		
7833	krisolamine		
7853	"2,6-Dichloro-7-methylpurine"		
8101	Inosite		
8117	erycorbin		
8120	mycoin		
8174	Phenylbiguanide mbt-salt		
8179			
8360	"N-(6-Chloro-2-methoxyacridin-9-yl)-N',N'-diethyl-1-(4-fluorophenyl)butane-1,4-diamine"		
8552	9-Chlorophenanthrene		
8643	gallamine blue		
8672	hofmann's violet		
8673	iodine green		
8675	ethyl violet		
8704	dyodin		
8786	diacetoxybutyltin		
8806	Melphalan	FDA approved	A7|AlkAg
8974	Bis(4-bromophenyl)iodanium;hydroiodide		
8982	"Diphenyliodanium;2,4,6-trinitrophenol"		
8985	Di-p-tolyliodinium bromide		
8994	Bis(4-tert-butylphenyl)iodanium;hydrochloride		
8995	rot c		
9037	"3h-xanthen-3-one, 2,6,7-trihydroxy-9-(o-hydroxy-phenyl)-"		
9168	fumidil		
9170	thiocolciran		
9291	naphthol blue (van)		
9358	pada		
9403	methylene green (van)		
9404	safranin bluish		
9594	safranin bluish		
9598	Azur I		
9605	methylene blue nn		
9608	"1-(naphthalen-2-yl)-9,10-dioxo-9,10-dihydroanthracene-2-..."		
9609	janus red		
9610	janus black		
9612	nile blue bb		
9665	gelcohol		
9667	"N-Ethyl-N,N-dimethyl-2-[2-(4-octylphenoxy)ethoxy]ethan-1-aminium dodecane-1-sulfonate"		
9704	lutex		
9706	Triethylenemelamine	FDA approved	A7|AlkAg
9768	"2,4-Dichloro-6-[(5-chloro-2-hydroxyphenyl)methyl]phenol"		
9771	"2,6-Bis[(3,5-dichloro-2-hydroxyphenyl)methyl]-4-pentan-2-ylphenol"		
9853	orange y		
9855	phenosafranin		
9856	red oil		
9858	new fuchsin		
9921	pentamide		
9936	kutizon		
9951	decyltrimethylammonium bromide		
10010	"N,N-Bis(2-methyl-6-methoxy-4-quinaldyl)-1,9-diamino- non..."		
10018	"benzimidazole, 1-dodecyl-2-methyl-, hydrobromide"		
10036	"2-(4-Chlorophenyl)-N-(7-chloroquinolin-4-yl)-N',N'-diethylbutane-1,4-diamine"		
10037	"N-(7-Chloroquinolin-4-yl)-N',N'-diethyl-2-phenylbutane-1,4-diamine"		
10438	resazoin		
10460	p-Fuchsin		
10466	Basic Fuchsin		
10483	Desoximetasone		
10492	"2-(4-chlorophenyl)-N-(7-chloroquinolin-4-yl)-N',N'-dieth..."		
10517	2m2pm		
10520	2-[(Z)-2-(4-Chlorophenyl)ethenyl]-1-methylquinolin-1-ium iodide		
10526			
10534	"1,3,3-Trimethyl-2-[(1Z,3E)-4-phenylbuta-1,3-dienyl]indol-1-ium;iodide"		
10535			
10587	"1-Naphthalenemethanol, .alpha.-[2-(dibutylamino)-1,1-dim..."		
10594	"N-(2,3-Dimethoxy-6-nitroacridin-9-yl)-N',N'-diethyl-2-phenylbutane-1,4-diamine;hydrochloride"		
10641	1-(5-Chloro-2-methoxyphenyl)-2-(dipentylamino)ethanol;hydrochloride		
10660	1-(4-Chloronaphthalen-1-yl)-2-(dipentylamino)ethanol;hydrochloride		
10667	"phenothiazin-5-ium (9ci), 7-(dibutylamino)-3-(diethylami..."		
10721	Cortef fluid		
10848	ALBB-015765		
11051			
11216	"Indophenol, 2,6-dibromo-, monosodium salt"		
11225	klot		
11232	sudan r		
11235	thioflavine		
11240	basic blue k		
11241	sudan red		
11420	"3-(Dipentylamino)-1-(4-methoxynaphthalen-1-yl)-2,2-dimethylpropan-1-ol"		
11452	antineoplastic-11452		
11461	Usaf Sn-31		
11511	NIOSH/GY7277500		
11590	9AD2B660I3		
11624	Maybridge3_001738		
11663	"1-Phenyl-4-propoxy-6-(propylsulfanyl)-1h-pyrazolo[3,4-d]pyrimidine"		
11667	"1h-pyrazolo[3,4-d]pyrimidine, 4,6-bis(p-bromoanilino)-1-..."		
11668	"N4,N6-bis(3-chlorophenyl)-1-methyl-1H-pyrazolo[3,4-d]pyr..."		
11713	c.i. pigment red 64 (8ci)		
11773	mida		
11841	TimTec1_005460		
11881	benzoylleukomethylene blue		
11897	Phthiocol		
11905	lapachol		
11926	tardolyt		
11963	2-Benzyl-6-[[2-[(3-benzyl-5-chloro-2-hydroxyphenyl)methylamino]ethylamino]methyl]-4-chlorophenol;hydrochloride		
11969	"3,4,6-Trichloro-2-[[2-[(2,3,5-trichloro-6-hydroxyphenyl)methylamino]ethylamino]methyl]phenol"		
11981	"3-Methyl-8-(pentyliminomethyl)-5-propan-2-yl-2-[1,6,7-trihydroxy-3-methyl-8-(pentyliminomethyl)-5-propan-2-ylnaphthalen-2-yl]naphthalene-1,6,7-triol"		
11991	REGID_for_CID_223899		
12097	Resorufin		
12113	"1,2-Dimethoxy-4-(2-nitropropenyl)benzene"		
12129	7-Hydroxy-8-[[4-[4-[(2-hydroxy-8-sulfonaphthalen-1-yl)diazenyl]phenyl]sulfonylphenyl]diazenyl]naphthalene-1-sulfonic acid		
12150	"Decanediamide, N,N'-bis(4-amino-2-methyl-6-quinolyl)-, d..."		
12161	Crotonosid		
12174	isoflupredone		
12181	3-(6-Hydroxy-3-oxo-3H-xanthen-9-yl)-1-phenyl-2-naphthoic acid		
12198	Dromostanolone Propionate	FDA approved	Ho
12455	beacon red		
12516	4-(6-Chloro-2-methoxyacridin-9-ylamino)-2-(pyrrolidin-1-...		
12517	"N-Benzyl-1-methyl-7-propan-2-yl-3,4,4a,9,10,10a-hexahydro-2H-phenanthren-1-amine;hydrochloride"		
12650	antineoplastic-12650		
12825	NCIMech_000116		
12865	"Quinine, hydrobromide, hydrate"		
12969	c.i. 37511		
13002	win 1701		
13003	wln: t c666 bnj eo1 fo1 im1yq1n2&2 mnw &gh 2		
13006	"Ethanol, 2-[(2-[(2-methoxy-9-acridinyl)amino]ethyl)amino..."		
13051	4-[(6-Chloro-2-methoxyacridin-9-yl)amino]-5-methyl-2-propan-2-ylphenol		
13052			
13055	TCMDC-142279		
13119	l-trp		
13128	nicota		
13151	J-501875		
13162	Cadmium;4-chlorobenzenesulfonic acid		
13204	AK-38589		
13239	NCI-13239		
13248			
13275	"5,6-Dimethoxy-N-(2-piperidin-2-ylethyl)quinolin-8-amine;hydroiodide"		
13300			
13307	"9-phenanthrenemethanol, 6-bromo-.alpha.-[(diheptylamino)..."		
13314			
13316	(2-(4-chlorophenyl)quinolin-4-yl)(piperidin-2-yl)methanol		
13317	"N-[(7-Chloro-2-phenylquinolin-4-yl)methyl]-N',N'-diethylpropane-1,3-diamine;sulfuric acid"		
13318	"N',N'-Diethyl-N-[(2-phenylquinolin-4-yl)methyl]propane-1,3-diamine;sulfuric acid"		
13378			
13380	2-(6-Methoxy-2-methylquinolin-4-ylthio)benzo[d]thiazole		
13397	Triamcinolone		
13477	"4-N-(7-Chloro-3-phenylquinolin-4-yl)-1-N,1-N-diethylpentane-1,4-diamine;hydroiodide"		
13479	"1-N,1-N-Diethyl-4-N-(7-phenoxyquinolin-4-yl)pentane-1,4-diamine;2-hydroxypropane-1,2,3-tricarboxylic acid"		
13480			
13483	A821143		
13484	"1-N,1-N-Diethyl-4-N-(7-methoxy-2-phenylquinolin-4-yl)pentane-1,4-diamine"		
13502	echinomycin		
13597			
13598	7-Chloro-N-[2-[2-(diethylamino)ethylsulfonyl]ethyl]quinolin-4-amine;phosphoric acid		
13616	"2-N-Cyclohexyl-1-N-(6-methoxyquinolin-8-yl)butane-1,2-di..."		
13625	"4-[(Z)-2-(4,6-Dimethylquinolin-2-yl)ethenyl]-N,N-diethylaniline"		
13628	"N-(4-Benzylsulfanylquinolin-8-yl)-N',N'-diethylpropane-1,3-diamine"		
13699	Petcm		
13713			
13724	"N-(7-Chloro-3-methylquinolin-4-yl)-2-(4-chlorophenyl)-N',N'-diethylbutane-1,4-diamine"		
13801	"2-mercapto-o-acetanisidide, carbamate"		
13831	Probes1_000354		
13835	1-Tetradecylpyridin-1-ium-3-carboxamide;bromide		
13973	basic yellow k		
13977	Alizarin Blue S		
13981	5-benzamido-1-aminoanthraquinone		
13984	SC-33007		
13986	janus green v		
14006			
14009	"2,4-Dimethoxy-1-[(Z)-2-nitrobut-1-enyl]benzene"		
14022	Bis(methylthio)maleonitrile		
14034	IMKHPTXYFMGMDE-UHFFFAOYSA-N		
14040	"[5-(4-Methoxybenzoyl)-2,6-dioxa-1,3-diazabicyclo[3.1.0]hex-3-en-4-yl]-(4-methoxyphenyl)methanone"		
14050	arolen		
14071	"ethanol, 2-[[3-[(6-chloro-2-methoxy-9-acridinyl)amino]pr..."		
14073	1-[2-[(2-Methoxyacridin-9-yl)amino]ethylamino]propan-2-ol;hydrochloride		
14079	"Acridine, 9-[(4-diethylamino-1-methylbutyl)amino]-2-meth..."		
14186	Maybridge1_003613		
14229	Acrichine	FDA approved	Db|AP
14380	"1,3,7-Trimethyl-8-(2-methylpropoxy)purine-2,6-dione"		
14548	Benzylidenanthron		
14657	"1-[3-[(2,3-Dimethoxy-6-nitroacridin-9-yl)amino]propylamino]-2-methylpropan-2-ol;chloride"		
14659	"3-[2-[(6-Chloro-2-methoxyacridin-9-yl)amino]ethylamino]propane-1,2-diol;hydrochloride"		
14666	adenin		
14711			
14741	8-[5-(Propan-2-ylamino)pentylamino]quinolin-6-ol;hydrochloride		
14864	ceprim		
14973	N-(p-Carboxyphenyl)glycine		
14974	Glaucarubol		
14975	glarubin		
14977	9-Hydrazinoacridinhydrochlorid		
15013	ANQI		
15078	"Malononitrile, (.beta.-pentylcinnamylidene)-"		
15193	Ba 2758		
15200	gallium nitrate		
15309	Phlorone		
15372	p-oxinozon		
15609	"Gluconic acid, cyclic antimonate(III), sodium salt"		
15623			
15628	rozex		
15785			
15791	"Thioxanthen-9-one, 4-methyl-1-(2-piperidinoethylamino)-,..."		
15795	6-Chloro-1-[2-[ethyl-(2-hydroxy-2-methylpropyl)amino]ethylamino]-4-methylthioxanthen-9-one;hydrochloride		
15812	"N,N-Dihexylquinoline-4-carboximidamide"		
15813	(Z)-5-[Benzyl(methyl)amino]-2-(4-chlorophenyl)-1-phenylpent-1-en-3-one		
15830	DCVC		
15886	Q2806562		
15975	light orange r		
16034	CBDivE_011978		
16116	Trimethyl-[2-[pyridin-2-yl(thiophen-2-ylmethyl)amino]ethyl]azanium;iodide		
16165	Azure C (VAN)		
16166	Azure B bromide		
16219	OAM5T44TSB		
16222	"phenazinium (8ci), 3-(diethylamino)-7-[(2-hydroxy-1-naph..."		
16239	p-anisylchloromercury		
16258	2-Nitro-1-phenylpropan-1-ol		
16520	"N,N-Diethyl-4-[(E)-2-(4-methylquinolin-2-yl)ethenyl]aniline"		
16685			
16729	(Z)-3-(3-Methoxy-4-phenylmethoxyphenyl)prop-2-enoic acid		
16865			
16876			
17061	"1-((3,4-Dimethoxybenzylidene)amino)-2-naphthol"		
17065	(2-Benzamidophenyl) benzoate		
17245	"[2-[(8S,9S,10R,11S,13S,14S,17R)-11,17-Dihydroxy-10,13-dimethyl-3-oxo-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-17-yl]-2-oxoethyl] cyclopentanecarboxylate"		
17257	"actidione, benzoylacetate"		
17273	Propyl quinacrine mustard		
17275	2-[Bis(2-chloroethyl)aminomethyl]-4-[3-[bis(2-chloroethyl)aminomethyl]-4-hydroxy-5-prop-2-enylphenyl]-6-prop-2-enylphenol;hydrochloride		
17473	siquil		
17551	"1,3-Propanedione, 1-(3-pyridinyl)-3-(2,4,6-trimethyl- ph..."		
17744	"4,4-Dimethyl-2-pentadecyl-1-(propan-2-yl)-4,5-dihydro-1h-imidazole"		
17759	"1-[2-[(E)-Heptadec-8-enyl]-5,5-dimethyl-4H-imidazol-3-yl]propan-2-ol"		
17762	"2-(2-Heptadecyl-4,4-dimethyl-4,5-dihydro-1h-imidazol-1-yl)-2-methylpropan-1-ol"		
18286	"1-Ethoxy-5-fluoro-2,4-dinitrobenzene"		
18298			
18300			
18335	cinerubin b		
18451	"Fluoren-9-one, 2-[bis(p-bromobenzyl)amino]-"		
18460	n-(7-Nitro-9h-fluoren-2-yl)formamide		
18613	"Trimethyl-[2-[(1-methyl-3,4-dihydro-2H-quinolin-1-ium-1-yl)amino]ethyl]azanium;iodide"		
18719			
18727			
18758	"2,2'-Biphenyl-4,4'-diyldiguanidine sulfate(1:1)"		
18804	hinokitol		
18805	"thujaplicin, alpha"		
18877	"3,4-di(benzo[b]thiophene-3-carbonyl)-1,2,5-oxadiazole 2-..."		
18880	Phenoxathiine-4-carbohydrazide		
18883	"2-(12H-Benzo[a]phenothiazin-12-yl)-N,N-diethylethanamine"		
18891	NCIMech_000665		
18894	valerolactim		
19048	"Racemic gossypol, acetate salt"		
19139	A842338		
19147	"2-chloro-N-phenethyl-9-phenyl-9H-purin-6-amine, hydrochl..."		
19441	fda 0283		
19509	yohimbine		
19630	"(2,5-dioxo-2,5-dihydro-1H-pyrrol-1-yl)methyl propionate"		
19637	2-(m-Nitrostyryl)pyridine		
19639	m-Dimaleimidobenzene		
19645	Nitrochin		
19727	A818196		
19728	[(E)-(4-Hexoxyphenyl)methylideneamino]thiourea		
19760	N-Phthaloyl-Phe-OH		
19781	"Phenol, 4,4'-(1,6-hexanediyl)bis-"		
19802	rhamnetin		
19893	Fluorouracil	FDA approved	Ds|Rs|TYMS
19912	Cryptopleurine		
19942	Tenulin		
19976	10-(3-(1-Azaspiro[4.5]dec-1-yl)propyl)-2-chloro-10H-phenothiazine		
19987	meprdl		
19990	streptovaricin c		
20000	agrosol		
20200	Benzethonium Chloride		
20207			
20256	uridin		
20514	NCIMech_000725		
20527	dibask		
20534	"Thioxanthen-9-one, 1-[[2-[ethyl(2-hydroxyethyl)amino]eth..."		
20644	"1,2,3-Tribenzylguanidine"		
20909	isothan		
21061	cresol		
21075	pilocereine		
21206	6-AMINONICOTINAMIDE		
21276	"2,6-dinitrochlorobenzene"		
21356	"N,N-Bis[2-oxo-2-(2-phenylhydrazinyl)ethyl]nitrous amide"		
21434	ALBB-007622		
21518	2-Tert-butyl-6-((dimethylamino)methyl)-4-isopropylphenol		
21545	"methanesulfonothioic acid, s-methyl ester (9ci)"		
21548	dthyd		
21588	A805455		
21622	"5-(Morpholin-4-ylmethyl)-3-[(Z)-[(E)-4-(5-nitrofuran-2-yl)but-3-en-2-ylidene]amino]-1,3-oxazolidin-2-one"		
21662	"2-Bromophenazine 5,10-dioxide"		
21666	Phenazine di-N-oxide		
21669	"2-methoxyphenazine, 5,10-dioxide"		
21681	STL437892		
21683	STL437902		
21702			
21715	Trichloromethyl(4-chlorophenyl) sulfone		
21728	"Sempervirine, nitrate"		
21914	"3,4-Benzpyrene"		
21970	L-alpha-Aminobutyric Acid		
22070	pyrethrosin		
22201	pimm		
22225	"Cadmium;1,4,5,6,7,7-hexachlorobicyclo[2.2.1]hept-5-ene-2,3-dicarboxylic acid"		
22348	"1H-Naphth[2,3-d]imidazole-4,9-dione, 1-(4-bromophenyl)-2..."		
22709	ae 200		
22842	cumostrol		
22945	WLN: WNR CG DG FNW		
22984			
22994	"2-[Hydroxy(phenyl)methyl]-N,N-dimethyl-N-[(2E)-3-phenylprop-2-en-1-yl]dodecan-1-aminium chloride"		
23159	"Methyl 11,12-dibromo-3,9-epoxycholan-24-oate"		
23162	Nandrolone phenpropionate	FDA approved	Ho|NonCan:Ste
23173	4-((2-(Acetylamino)-9H-fluoren-9-ylidene)amino)benzoic acid		
23297	"N-(3-Methylphenyl)-2,4,7-trinitrofluoren-9-imine"		
23345	ptsm		
23416	29D9UWI50A		
23418	3-(Benzylamino)-1-naphthalen-2-ylpropan-1-ol;hydrochloride		
23477	"1,2-Dichloro-4-[(E)-2-nitrobut-1-enyl]benzene"		
23615	deoxyuridine		
23759	TESTOLACTONE	FDA approved	Ho
23766	6-N-[2-[5-(diethylamino)pentan-2-ylamino]-6-methylpyrimi...		
23833	1-(((4-Methylphenyl)sulfinyl)oxy)-4-phenyl-4-piperidinecarboxylic acid		
23856	4-Methoxy-		
23863			
23904			
23925			
23936	(4Z)-4-[(4-Nitrophenyl)hydrazinylidene]pentanoic acid		
23994	Butyl maleurate		
24030	"1,4-benzenediamine (9ci), n-butyl-n'-phenyl-"		
24037	N-(9-(4-(trimethylamino)benzylidene)-9H-fluoren-2-yl)ace...		
24047			
24076			
24113	NCIMech_000745		
24189	8455AB		
24500	"2,6-Dimethoxyquinone"		
24559	Mithramycin	FDA approved	Db|Rs
24692	"2,4,7-Tribromotropone"		
24817	peltatin a		
24818	podophyllotoxin		
24819	peltatin b		
24871	l-Arctigenin		
24913	TC-167793		
25028	"4-Amino-1,2-naphthoquinone"		
25154	Pipobroman	FDA approved	A7|AlkAg
25454	Isoquinolin-1-yl(4-methoxyphenyl)phenylmethanol		
25485	uabaina		
25703	"1-(Aziridin-1-yl)-N-[4-[[4-[[1-(aziridin-1-yl)-2,2-diphenylethylidene]amino]phenyl]methyl]phenyl]-2,2-diphenylethanimine"		
25818	4-chloro-3-nitrophenyl methyl sulfone		
25830	CBDivE_002081		
25846	"2-Nitrophenyl 2,4,6-trimethylbenzenesulfonate"		
25861	"6-Chloro-5-methyl-1,1-dioxo-4H-1lambda6,2,4-benzothiadiazine-7-sulfonamide"		
26037	1-[4-[(E)-2-(4-Chlorophenyl)ethenyl]phenyl]-2-(dimethylamino)ethanol		
26040	"1-Piperidineethanol, .alpha.-[p-(p-chlorostyryl)phenyl]-"		
26045	"5,7-dichloroisatin"		
26074	1-(4-Chloronaphthalen-1-yl)-2-(dimethylamino)ethanol 4-methylbenzenesulfonate(1:1)		
26081			
26113	"[(E)-3-(2,3,4,5-Tetrachlorocyclopenta-2,4-dien-1-ylidene)prop-1-enyl]benzene"		
26258	cube		
26271	Cyclophosphamide	FDA approved	A7|AlkAg
26273	6-Benzylthioinosine		
26427	5-Chlorocoumarin		
26540	"2-methyl-4,5,6-trichloropyrimidine"		
26647	Naphthazarin		
26692	"4,5-bis(4-Methoxyphenyl)-1H-imidazol-2(5H)-one"		
26697	IPDPPISLQQOKEV-NTCAYCPXSA-N		
26821	o-Aminoazotoluene		
26933	OKDKHOBYMXHNMN-UHFFFAOYSA-N		
26980	Mitomycin	FDA approved	A2
27034	"2,3-Quinizarindicarbonitrile"		
27445			
27515	"2-isoindolineacetic acid, .alpha.-isopropyl-1,3-dioxo- (..."		
27604	N-[(E)-[1-(5-Chloro-2-hydroxyphenyl)-3-methylbutylidene]amino]pyridine-4-carboxamide		
27607	5-Chlorosalicylaldehyde isonicotinoylhydrazone		
27640	Floxuridine	FDA approved	Ds|TYMS
28002	"Naphtho[2,1-b]quinolizinium, 7-methyl- chloride"		
28081	J3.656.556J		
28365	"[4-(5,8-Diacetyloxy-1-tetracyclo[6.6.0.02,7.09,14]tetradeca-2(7),3,5,9,11,13-hexaenyl)phenyl] acetate"		
