""	"NSC"	"NAME"	"SMILES"	"CONFIDENTIAL_FLAG"	"MOA"	"FDA_STATUS"	"TOTAL_EXPS"	"TOTAL_EXPS_AFTER_QC"	"PUBCHEM_ID"	"CAS"
"3060"	"3060"	"Potassium arsenite"	"[K+].O[As]=O"	0	NA	NA	2	1	NA	"10124502"
"3061"	"3061"	"malacid"	"CCc1nc(N)nc(N)c1c2ccc(Cl)cc2"	0	"DHFR"	"FDA approved"	2	2	NA	"58140"
"3062"	"3062"	"Etoprine"	"CCc1nc(N)nc(N)c1c2ccc(Cl)c(Cl)c2"	0	""	""	1	1	29142	"18588573"
"3073"	"3073"	"facid"	"NC1=NC(=O)c2nc(CNc3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O)cnc2N1"	0	NA	NA	1	1	NA	"59303"
"3074"	"3074"	"Chlorazin"	"CC1(C)N=C(N)N=C(N)N1c2ccc(Cl)cc2"	0	NA	NA	1	1	NA	"152534"
"3077"	"3077"	"D 54"	"CC1(C)N=C(N)N=C(N)N1c2ccc(Cl)c(Cl)c2"	0	NA	NA	2	2	NA	"17711818"
"3080"	"3080"	"d 69"	"CC1(C)N=C(N)N=C(N)N1c2cccc(Cl)c2"	0	NA	NA	1	1	NA	"1931197"
"3081"	"3081"	""	"CCCCCCC1N=C(N)N=C(N)N1c2ccc(Cl)cc2"	0	NA	NA	1	1	NA	""
"3082"	"3082"	"x 49"	"CC1(C)N=C(N)N=C(N)N1c2cccc(Br)c2"	0	NA	NA	2	2	NA	"4514527"
"3083"	"3083"	"1-(3-Chlorophenyl)-2-hexyl-2H-1,3,5-triazine-4,6-diamine;hydrochloride"	"CCCCCCC1N=C(N)N=C(N)N1c2cccc(Cl)c2"	0	""	""	2	2	24180956	"5337962"
"3088"	"3088"	"Chlorambucil"	"OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl"	0	"A7|AlkAg"	"FDA approved"	130	102	NA	"305033"
"3090"	"3090"	"badil"	"CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccc(cc3)N(C)C"	0	""	"FDA approved"	1	1	NA	"548629"
"3091"	"3091"	"Methyl green"	"[Cl-].[Br-].CC[N+](C)(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccc(cc3)N(C)C"	0	NA	NA	1	1	NA	"14855766"
"3093"	"3093"	"crude pyronine b"	"CCN(CC)c1ccc2C=C3C=CC(=[N+](CC)CC)C=C3Oc2c1.[ClH-][Fe+3]([ClH-])([ClH-])[ClH-]"	0	NA	NA	1	1	NA	""
"3094"	"3094"	"PDMT"	"CN(C)N=Nc1ccccc1"	0	""	""	1	1	23654	"7227910"
"3262"	"3262"	"2,5-Bis(ethylamino)hydroquinone"	"Oc1cc(N2CC2)c(O)cc1N3CC3"	0	""	""	2	2	94797	"2588343"
"3265"	"3265"	""	"Clc1ccc(\C=C\c2ccc3ccccc3n2)cc1"	0	NA	NA	2	2	NA	"5392198"
"3284"	"3284"	"wln: t6nj c- bt5ktj a1 a2- at5ktj a1 b- ct6nj &q 2 &i 2"	"C[N+]1(CC[N+]2(C)CCCC2c3cccnc3)CCCC1c4cccnc4"	0	NA	NA	1	1	NA	"5392303"
"3298"	"3298"	"Phenol, 2-methoxy-4-(2-nitropropenyl)-"	"COc1cc(\C=C(\C)/[N+](=O)[O-])ccc1O"	0	NA	NA	1	1	NA	"5395471"
"3424"	"3424"	"quinacrine mustard"	"COc1ccc2nc3cc(Cl)ccc3c(NC(C)CCCN(CCCl)CCCl)c2c1"	0	NA	NA	2	2	NA	"4213450"
"3531"	"3531"	"clioquinol"	"Oc1c(I)cc(Cl)c2cccnc12"	0	NA	NA	1	1	NA	"130267"
"3618"	"3618"	"4-N-(7-Chloroquinolin-4-yl)-1-N-cyclohexylcyclohexane-1,4-diamine"	"Clc1ccc2c(NC3CCC(CC3)NC4CCCCC4)ccnc2c1"	0	""	""	1	1	220625	""
"3628"	"3628"	""	"CCN(CC)c1ccc(NC(C(=O)c2ccccc2)c3ccccc3)cc1"	0	NA	NA	1	1	NA	"5342632"
"3799"	"3799"	"AI3-08904"	"[O-][N+](=O)c1cccc(\C=C\C(=O)\C=C\c2cccc(c2)[N+](=O)[O-])c1"	0	""	""	1	1	6436750	"621216"
"3808"	"3808"	"2,4-dinitrobromobenzene"	"[O-][N+](=O)c1ccc(Br)c(c1)[N+](=O)[O-]"	0	""	""	2	2	11441	"584485"
"3840"	"3840"	"Chloro-(5-chlorothiophen-2-yl)mercury"	"Cl[Hg]c1ccc(Cl)s1"	0	""	""	2	2	407288	""
"3847"	"3847"	"1-(5-Bromo-4-nitrothiophen-2-yl)propan-1-one"	"CCC(=O)c1cc(c(Br)s1)[N+](=O)[O-]"	0	""	""	1	1	220712	""
"3852"	"3852"	"Hydron III"	"Oc1ccc(N=O)c2cccnc12"	0	""	""	2	2	19103	"3565262"
"3877"	"3877"	""	"c1cc[n+](cc1)C2c3ccccc3C(c4ccccc24)[n+]5ccccc5"	0	NA	NA	2	2	NA	"69282162"
"3905"	"3905"	"tripyridyl"	"c1ccc(nc1)c2cccc(n2)c3ccccn3"	0	NA	NA	1	1	NA	"1148794"
"3907"	"3907"	"Benzoic acid, 2-hydroxy-, compd. with 8-quinolinol (1:1)..."	"Oc1cccc2cccnc12"	0	""	""	2	2	142766	"2439078"
"3927"	"3927"	"thiolutin"	"CN1C(=O)C(=C2SSC=C12)NC(=O)C"	0	""	""	2	1	6870	"87116"
"3941"	"3941"	""	"C\C(=C/c1ccc(Cl)c(Cl)c1)\[N+](=O)[O-]"	0	NA	NA	1	1	NA	"6974465"
"3970"	"3970"	"pyrod"	"O=C1NC=CC(=O)N1"	0	NA	NA	5	2	NA	"66228"
"4045"	"4045"	"auramin"	"CN(C)c1ccc(cc1)C(=N)c2ccc(cc2)N(C)C"	0	NA	NA	1	1	NA	"2465272"
"4060"	"4060"	"urson"	"CC1CCC2(CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C2C1C)C(=O)O"	0	""	""	1	1	64945	"77521"
"4112"	"4112"	"Fenticlor"	"Oc1ccc(Cl)cc1Sc2cc(Cl)ccc2O"	0	NA	NA	1	1	NA	"97245"
"4114"	"4114"	"Morpholine-N-dithiocarbamate"	"SC(=S)N1CCOCC1"	0	""	""	4	2	72675	"5327106"
"4170"	"4170"	"kipca"	"CC1=CC(=O)c2ccccc2C1=O"	0	NA	NA	2	1	NA	"58275"
"4184"	"4184"	"p,p'-Dihydroxystilbene"	"Oc1ccc(\C=C\c2ccc(O)cc2)cc1"	0	""	""	2	2	5282363	"659223"
"4232"	"4232"	"3-[(2-Oxo-1,2-diphenylethyl)amino]benzoic acid"	"OC(=O)c1cccc(NC(C(=O)c2ccccc2)c3ccccc3)c1"	0	""	""	1	1	220828	"5397568"
"4236"	"4236"	"4m2o"	"CN(C)c1ccc(\C=C\c2ccnc3ccccc23)cc1"	0	""	""	2	2	668053	"897552"
"4238"	"4238"	"2m2m"	"CN(C)c1ccc(\C=C\c2ccc3ccccc3[n+]2C)cc1"	0	NA	NA	1	1	NA	"3915615"
"4239"	"4239"	"4m2m"	"CN(C)c1ccc(\C=C\c2cc[n+](C)c3ccccc23)cc1"	0	NA	NA	2	2	NA	"20327086"
"4265"	"4265"	"Phenanthroline hydrochloride"	"c1cnc2c(c1)ccc3cccnc23"	0	NA	NA	2	2	NA	"3829865"
"4272"	"4272"	"5-methylphenanthroline"	"Cc1cc2cccnc2c3ncccc13"	0	""	""	1	1	72791	"3002786"
"4280"	"4280"	"neocuproin"	"Cc1ccc2ccc3ccc(C)nc3c2n1"	0	""	""	2	2	65237	"484117"
"4281"	"4281"	"4,7-Dimethyl-o-phenanthroline"	"Cc1ccnc2c1ccc3c(C)ccnc23"	0	""	""	1	1	72792	"3248053"
"4285"	"4285"	"STK862428"	"ClC1=C(Nc2ccccc2)C(=O)c3ccccc3C1=O"	0	""	""	1	1	14161	"1090160"
"4290"	"4290"	"1-[2-(4-Nitrophenyl)-2-oxoethyl]-4-pentylpyridin-1-ium bromide"	"CCCCCc1cc[n+](CC(=O)c2ccc(cc2)[N+](=O)[O-])cc1"	0	""	""	1	1	24181037	"5397955"
"4291"	"4291"	"Masoprocol"	"CC(Cc1ccc(O)c(O)c1)C(C)Cc2ccc(O)c(O)c2"	0	""	"FDA approved"	2	2	NA	"500389"
"4320"	"4320"	"strophanthin"	"COC1CC(OC2CCC3(C=O)C4CCC5(C)C(CCC5(O)C4CCC3(O)C2)C6=CC(=O)OC6)OC(C)C1OC7OC(CO)C(O)C(O)C7O"	0	NA	NA	3	1	NA	"560532"
"4375"	"4375"	"Hydroxychloroquine Sulfate"	"CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12"	0	"Immunomodulatory"	"FDA approved"	1	1	NA	"747364"
"4378"	"4378"	"1-[7-Chloro-2-(4-chlorophenyl)quinolin-4-yl]-2-(diethylamino)ethanol;hydrochloride"	"CCN(CC)CC(O)c1cc(nc2cc(Cl)ccc12)c3ccc(Cl)cc3"	0	""	""	2	1	24181064	""
"4432"	"4432"	"genacryl pink g"	"CN(CCCl)c1ccc(\C=C\C2=[N+](C)c3ccccc3C2(C)C)cc1"	0	""	""	1	1	6433371	"3648360"
"4434"	"4434"	"nabor orange r"	"C[N+]1=C(\C=C\c2c(c3ccccc3)n(C)c4ccccc24)C(C)(C)c5ccccc15"	0	NA	NA	2	2	NA	"4657005"
"4483"	"4483"	"omadine sodium"	"[O-][n+]1ccccc1S"	0	NA	NA	1	1	NA	"3811732"
"4512"	"4512"	"2-Iodo-3-(phenylsulfonyl)propanenitrile"	"IC(CS(=O)(=O)c1ccccc1)C#N"	0	""	""	1	1	220946	""
"4518"	"4518"	"Bis(4-amino-3-bromophenyl)methanone"	"Nc1ccc(cc1Br)C(=O)c2ccc(N)c(Br)c2"	0	""	""	2	2	220951	"5398618"
"4582"	"4582"	"(1Z,4E)-1,5-Bis(5-bromo-2-hydroxyphenyl)penta-1,4-dien-3-one"	"Oc1ccc(Br)cc1\C=C\C(=O)\C=C\c2cc(Br)ccc2O"	0	""	""	1	1	54603154	"6291005"
"4623"	"4623"	"1H-Imidazole-4,5-dicarboxylic acid, 2-phenyl- (9CI)"	"OC(=O)c1nc([nH]c1C(=O)O)c2ccccc2"	0	""	""	2	2	221007	"888608"
"4644"	"4644"	"Betulin"	"CC(=C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC34C)C12"	0	NA	NA	1	1	NA	"473983"
"4681"	"4681"	"2-[4-(Carboxymethoxy)phenoxy]acetic acid"	"OC(=O)COc1ccc(OCC(=O)O)cc1"	0	""	""	1	1	24181093	"5393293"
"4698"	"4698"	""	"CC(C)c1cc(SC#N)c(C)cc1O"	0	NA	NA	1	1	NA	"6074313"
"4722"	"4722"	"aloin"	"OCc1cc(OCC(O)C(O)C(O)C=O)c2C(=O)c3ccccc3C(=O)c2c1"	0	""	"FDA approved"	4	1	221037	""
"4728"	"4728"	"Aminothiadiazole"	"Nc1nncs1"	0	""	""	10	3	19909	"4005510"
"4810"	"4810"	""	"[O-][N+](=O)c1ccc(N\N=C\2/C(=O)Nc3ccccc23)c(c1)[N+](=O)[O-]"	0	NA	NA	1	1	NA	"2058711"
"4844"	"4844"	"N-Benzyl-N,N-dimethylhexadecan-1-aminium hexafluorophosphate"	"CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1"	0	""	""	1	1	24181101	"2932516"
"4857"	"4857"	"dedc"	"[Na+].CCN(CC)C(=S)S"	0	NA	NA	2	1	NA	"148185"
"4896"	"4896"	"quinalizarin"	"Oc1ccc2C(=O)c3c(O)ccc(O)c3C(=O)c2c1O"	0	NA	NA	1	1	NA	"81618"
"4911"	"4911"	"Thioinosine"	"OCC1OC(C(O)C1O)n2cnc3C(=S)N=CNc23"	0	NA	NA	2	2	NA	"574254"
"4962"	"4962"	"p-Toluhydroquinol"	"Cc1cc(O)ccc1O"	0	NA	NA	1	1	NA	"95716"
"4972"	"4972"	"tbhq"	"CC(C)(C)c1cc(O)ccc1O"	0	""	""	3	2	16043	"1948330"
"5006"	"5006"	"C.I. 42510 acetate"	"Cc1cc(ccc1N)C(=C2C=CC(=N)C=C2)c3ccc(N)cc3"	0	NA	NA	1	1	NA	"6035956"
"5011"	"5011"	"Brilliant Green"	"CCN(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccccc3"	0	NA	NA	1	1	NA	"633034"
"5019"	"5019"	"violet bnp"	"CCN(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)Cc3cccc(c3)S(=O)(=O)O)C=C2)c4ccc(cc4)N(CC)Cc5cccc(c5)S(=O)(=O)O"	0	NA	NA	2	2	NA	"4129844"
"5031"	"5031"	"D-Glucopyranose, pentakis[3,4-dihydroxy-5-[(3,4,5-trihyd..."	"Oc1cc(cc(O)c1O)C(=O)Oc2cc(cc(O)c2O)C(=O)OCC3OC(OC(=O)c4cc(O)c(O)c(OC(=O)c5cc(O)c(O)c(O)c5)c4)C(OC(=O)c6cc(O)c(O)c(OC(=O)c7cc(O)c(O)c(O)c7)c6)C(OC(=O)c8cc(O)c(O)c(OC(=O)c9cc(O)c(O)c(O)c9)c8)C3OC(=O)c%10cc(O)c(O)c(OC(=O)c%11cc(O)c(O)c(O)c%11)c%10"	0	""	""	1	1	16129878	"72401537"
"5048"	"5048"	"magneson ii"	"Oc1ccc(N=Nc2ccc(cc2)[N+](=O)[O-])c3ccccc13"	0	""	""	1	1	79174	"5290620"
"5053"	"5053"	"tptz"	"c1ccc(cc1)c2n[n+](c3ccccc3)n(n2)c4ccccc4"	0	""	""	2	2	9283	"298964"
"5062"	"5062"	"allyliodourotropine"	"C=CC[N+]12CN3CN(CN(C3)C1)C2"	0	NA	NA	1	1	NA	"36895622"
"5066"	"5066"	"2,4-Dihydroxy-6-methyl-4'-nitroazobenzene"	"Cc1cc(O)cc(O)c1N=Nc2ccc(cc2)[N+](=O)[O-]"	0	""	""	1	1	69095	"607965"
"5113"	"5113"	"POMIFERIN"	"CC(=CCc1c(O)c2C(=O)C(=COc2c3C=CC(C)(C)Oc13)c4ccc(O)c(O)c4)C"	0	""	""	2	2	4871	"572032"
"5159"	"5159"	"chartreusin"	"COC1C(O)C(C)OC(OC2C(Oc3cccc4c(O)c5C(=O)Oc6ccc(C)c7C(=O)Oc(c5c67)c34)OC(C)C(O)C2O)C1O"	0	NA	NA	8	5	NA	"6377180"
"5192"	"5192"	"5,6-Chrysenedione"	"O=C1C(=O)c2c(ccc3ccccc23)c4ccccc14"	0	""	""	1	1	16317	"2051107"
"5200"	"5200"	"py 40"	"NC1=NC(=O)C(=C(N)N1)N=Nc2ccccc2"	0	""	""	1	1	135403411	"3054704"
"5206"	"5206"	"1-(3-Bromophenyl)-2-undecyl-2H-1,3,5-triazine-4,6-diamine hydrochloride"	"CCCCCCCCCCCC1N=C(N)N=C(N)N1c2cccc(Br)c2"	0	""	""	2	2	24181145	"6333477"
"5278"	"5278"	"olpizan"	"[O-][N+](=O)c1cc(Cl)c(Cl)c(c1Cl)[N+](=O)[O-]"	0	""	""	1	1	17584	"2678219"
"5283"	"5283"	"chlorotriethyltin"	"CC[Sn](Cl)(CC)CC"	0	""	""	1	1	13820	"994310"
"5332"	"5332"	"pan (van)"	"Oc1ccc2ccccc2c1N=Nc3ccccn3"	0	""	""	2	2	6825	"85858"
"5337"	"5337"	"vancide 26"	"CCCCCCCCCCCC[n+]1ccccc1.Clc2ccc3SC(=S)[N-]c3c2"	0	""	""	2	2	79411	"5406973"
"5347"	"5347"	"(o-carboxyphenylthio)acetic acid"	"OC(=O)CSc1ccccc1C(=O)O"	0	NA	NA	1	1	NA	"135137"
"5355"	"5355"	"Berberal"	"COc1ccc2cc3c4cc5OCOc5cc4CC[n+]3cc2c1OC"	0	NA	NA	2	2	NA	"316416"
"5364"	"5364"	"cinchonidine"	"OC(C1CC2CCN1CC2C=C)c3ccnc4ccccc34"	0	""	"FDA approved"	1	1	NA	"485712"
"5366"	"5366"	"Noscapine"	"COc1ccc2[C@H](OC(=O)c2c1OC)[C@@H]3N(C)CCc4cc5OCOc5c(OC)c34"	0	""	"FDA approved"	1	1	NA	"128621"
"5417"	"5417"	"1-Naphthalenol, 4-nitroso- (9CI)"	"Oc1ccc(N=O)c2ccccc12"	0	NA	NA	1	1	NA	"605607"
"5418"	"5418"	"p-Nitroso-N,N-diethylaniline"	"CCN(CC)c1ccc(cc1)N=O"	0	""	""	1	1	67115	"120229"
