Experiment Name	Probe Name	mirbase_name	accession	BR:MCF7	BR:MDA_MB_231	BR:HS578T	BR:BT_549	BR:T47D	CNS:SF_268	CNS:SF_295	CNS:SF_539	CNS:SNB_19	CNS:SNB_75	CNS:U251	CO:COLO205	CO:HCC_2998	CO:HCT_116	CO:HCT_15	CO:HT29	CO:KM12	CO:SW_620	LE:CCRF_CEM	LE:HL_60	LE:K_562	LE:MOLT_4	LE:RPMI_8226	LE:SR	ME:LOXIMVI	ME:MALME_3M	ME:M14	ME:SK_MEL_2	ME:SK_MEL_28	ME:SK_MEL_5	ME:UACC_257	ME:UACC_62	ME:MDA_MB_435	ME:MDA_N	LC:A549	LC:EKVX	LC:HOP_62	LC:HOP_92	LC:NCI_H226	LC:NCI_H23	LC:NCI_H322M	LC:NCI_H460	LC:NCI_H522	OV:IGROV1	OV:OVCAR_3	OV:OVCAR_4	OV:OVCAR_5	OV:OVCAR_8	OV:SK_OV_3	OV:NCI_ADR_RES	PR:PC_3	PR:DU_145	RE:786_0	RE:A498	RE:ACHN	RE:CAKI_1	RE:RXF_393	RE:SN12C	RE:TK_10	RE:UO_31
RNA: Agilent Human miRNA (V2)	hsa-let-7e*	hsa-let-7e	MI0000066	-3.85048	-3.33692	-4.28107	-3.80239	-3.41228	-3.63916	-3.09348	-3.86184	-4.30556	-3.33568	-3.20248	-3.64656	-3.61457	-3.29938	-3.45342	-3.95869	-3.68703	-4.38761	-3.54526	-3.16745	-1.05077	-3.20055	-2.90483	-2.26044	-4.2572	-3.34473	-3.97961	-3.62572	-2.60742	-3.21253	-3.36034	-4.3138	-3.22795	-2.20042	-2.74741	-4.32847	-3.30275	-3.60636	-3.14418	-3.90725	-4.24103	-3.1765	-3.0967	-4.02758	-3.02274	-2.86128	-3.7852	-3.66053	-3.04477	-3.84879	-3.35847	-4.33961	-3.62012	-2.89402	-3.96246	-3.993	-3.49615	-3.96647	-3.162	-3.99791
RNA: Agilent Human miRNA (V2)	hsa-let-7f	hsa-let-7f-1	MI0000067	5.95692	6.57908	5.61363	4.90031	4.84627	5.65926	5.85093	5.76652	5.82714	6.25331	5.55228	5.58231	5.55277	4.73927	5.91916	5.61578	5.61377	4.82978	4.58985	6.24158	2.1888	6.78278	5.58305	5.6779	4.54903	5.59962	5.27943	5.29461	4.81906	5.18752	4.22101	4.64901	5.73844	5.63525	5.51604	5.20613	6.69602	5.46182	5.35928	5.41803	5.69477	4.19945	5.73958	4.15452	4.72072	5.44733	5.35255	5.0159	6.63602	5.08804	7.01305	5.23264	5.36953	5.07544	4.36494	4.94461	5.00549	5.30268	5.86864	4.69008
RNA: Agilent Human miRNA (V2)	hsa-let-7f(2)	hsa-let-7f-2	MI0000068	5.95692	6.57908	5.61363	4.90031	4.84627	5.65926	5.85093	5.76652	5.82714	6.25331	5.55228	5.58231	5.55277	4.73927	5.91916	5.61578	5.61377	4.82978	4.58985	6.24158	2.1888	6.78278	5.58305	5.6779	4.54903	5.59962	5.27943	5.29461	4.81906	5.18752	4.22101	4.64901	5.73844	5.63525	5.51604	5.20613	6.69602	5.46182	5.35928	5.41803	5.69477	4.19945	5.73958	4.15452	4.72072	5.44733	5.35255	5.0159	6.63602	5.08804	7.01305	5.23264	5.36953	5.07544	4.36494	4.94461	5.00549	5.30268	5.86864	4.69008
RNA: Agilent Human miRNA (V2)	hsa-let-7g	hsa-let-7g	MI0000433	3.90101	4.42272	3.68555	2.86764	0.73677	3.05089	3.3771	3.52665	3.45644	4.3692	3.2052	3.73342	4.28827	3.35396	4.25033	3.43974	4.47052	3.27463	3.2744	5.02474	-0.7205	5.69986	5.13879	4.70867	1.23488	4.27529	3.39171	4.09491	3.4756	4.07213	2.45663	2.14105	4.46036	4.1003	3.41312	3.33268	4.43374	3.21808	3.36803	3.86197	4.11295	3.03478	3.89208	2.8172	3.53291	4.49815	3.90066	3.5638	4.63473	4.2611	5.00374	2.96145	3.94317	3.22757	3.08344	2.77848	3.23735	3.77728	4.10706	3.45308
RNA: Agilent Human miRNA (V2)	hsa-let-7i	hsa-let-7i	MI0000434	4.51754	4.81564	5.18849	4.4307	-1.23145	3.77043	3.73663	5.28517	3.74226	3.51885	3.83472	3.19936	3.0999	2.96744	3.06348	5.22992	3.46628	2.59276	2.31906	3.83178	-0.12019	5.27076	4.35653	4.31484	2.67725	6.3675	4.28005	4.44958	5.96159	5.34729	3.11419	3.18732	5.35068	4.92164	5.63456	4.43919	5.91867	2.70878	5.27145	4.16822	4.44654	4.3101	3.86275	1.71305	3.46286	3.55476	5.75152	3.09826	6.33884	4.93509	4.96309	3.82727	4.43071	5.65451	4.8233	4.46083	5.09498	5.21341	4.68133	3.26746
RNA: Agilent Human miRNA (V2)	hsa-let-7i*	hsa-let-7i	MI0000434	-4.00187	-3.52926	-4.41023	-3.80239	-3.41228	-3.63916	-3.09348	-3.86184	-4.30556	-3.69773	-3.20248	-3.64656	-3.61457	-3.39764	-3.45342	-4.1044	-3.68703	-4.38761	-3.54526	-3.16745	-1.37984	-3.20055	-2.90483	-2.26044	-4.2572	-3.34473	-3.97961	-3.67336	-2.60742	-3.21253	-3.36034	-4.65498	-3.22795	-2.86227	-2.89084	-4.32847	-3.4968	-3.60636	-3.66097	-3.91625	-4.28534	-3.1765	-3.82202	-4.02758	-3.0705	-3.45364	-3.7852	-3.66053	-3.04477	-3.92938	-3.36612	-4.16057	-3.62418	-2.89402	-2.85099	-3.68221	-3.49615	-2.37493	-3.162	-3.99791
RNA: Agilent Human miRNA (V2)	hsa-miR-100	hsa-mir-100	MI0000102	-1.70776	6.0753	4.44823	2.95251	-1.19953	4.6769	5.30873	3.66242	3.63513	4.20469	3.77087	-3.64656	-3.61457	4.0061	-3.45342	-4.11624	-3.68703	-0.15578	-3.54526	-3.16745	-1.37984	-3.20055	-1.03343	-2.26044	5.69469	2.00251	2.23025	3.7645	2.60715	1.62553	2.14239	4.37108	3.92063	4.27102	2.59573	2.34385	5.95567	5.67354	1.96326	-1.57012	-0.91922	1.84869	1.92284	-4.02758	1.49904	-1.45893	0.51582	0.00383	4.46521	3.44745	6.55004	2.49717	3.20879	2.53099	-3.96246	2.70416	2.07384	3.81337	-3.162	2.98759
RNA: Agilent Human miRNA (V2)	hsa-miR-100*	hsa-mir-100	MI0000102	-4.00187	-1.37924	-3.44423	-3.80239	-3.41228	-2.49697	-1.7093	-3.86184	-4.28115	-3.53035	-3.15927	-3.64656	-3.61457	-2.65739	-3.45342	-4.11624	-3.68703	-4.38761	-3.54526	-3.16745	-1.37984	-3.20055	-2.90483	-2.26044	-0.95544	-3.34473	-3.65718	-3.67336	-2.60742	-3.21253	-3.36034	-2.65435	-3.22795	-3.53174	-2.89084	-4.32847	-1.55125	-1.57101	-4.37408	-3.91625	-4.28534	-3.1765	-3.90315	-4.02758	-3.0705	-3.45364	-3.7852	-3.66053	-3.04477	-3.92938	-1.23401	-4.33961	-3.62418	-2.89402	-3.96246	-4.46534	-3.49615	-3.01769	-3.162	-3.73257
RNA: Agilent Human miRNA (V2)	hsa-miR-101	hsa-mir-101-1	MI0000103	0.46033	-0.57721	-1.46928	-0.22492	1.1887	-1.4401	-0.73357	-0.15498	-1.00746	-0.32747	-0.45088	0.02769	0.00128	0.02261	-0.03788	0.05017	0.01178	0.04784	-0.86009	1.88363	0.48098	1.00996	0.53531	0.36458	0.40813	-0.08839	-0.1513	0.42499	-0.2999	-0.08167	-0.41267	-0.33703	0.15081	-0.15971	0.42207	-1.23769	0.31818	-0.58668	-1.37388	0.00775	-0.46406	-0.55429	-0.47062	-0.12933	-0.82967	-0.25677	-0.22621	-0.50084	-0.53579	-0.29437	1.03625	-0.54882	-0.40718	-1.407	-0.9025	-0.72783	-1.11129	-0.8683	-0.41075	-0.76931
RNA: Agilent Human miRNA (V2)	hsa-miR-101(2)	hsa-mir-101-2	MI0000739	0.46033	-0.57721	-1.46928	-0.22492	1.1887	-1.4401	-0.73357	-0.15498	-1.00746	-0.32747	-0.45088	0.02769	0.00128	0.02261	-0.03788	0.05017	0.01178	0.04784	-0.86009	1.88363	0.48098	1.00996	0.53531	0.36458	0.40813	-0.08839	-0.1513	0.42499	-0.2999	-0.08167	-0.41267	-0.33703	0.15081	-0.15971	0.42207	-1.23769	0.31818	-0.58668	-1.37388	0.00775	-0.46406	-0.55429	-0.47062	-0.12933	-0.82967	-0.25677	-0.22621	-0.50084	-0.53579	-0.29437	1.03625	-0.54882	-0.40718	-1.407	-0.9025	-0.72783	-1.11129	-0.8683	-0.41075	-0.76931
RNA: Agilent Human miRNA (V2)	hsa-miR-103	hsa-mir-103-1	MI0000109	4.15775	4.00642	2.78262	2.99958	4.87006	3.48673	2.14643	3.27027	2.87891	2.98239	2.66954	4.34869	3.02383	3.22399	3.49854	3.72332	3.70919	3.29836	3.84689	3.94754	3.13139	5.0361	4.02161	4.15995	3.31704	3.33898	2.88568	4.30764	4.04641	3.69732	4.13842	2.88509	3.20692	3.02387	3.46739	2.89643	4.00732	2.40069	2.99551	4.14174	3.96139	2.81907	4.03118	3.34643	3.79626	4.41123	4.13982	3.05014	4.88625	4.19299	3.85195	2.46989	3.66811	2.54394	1.45711	1.95703	3.69174	1.67824	3.74679	2.75201
RNA: Agilent Human miRNA (V2)	hsa-miR-103(2)	hsa-mir-103-2	MI0000108	4.15775	4.00642	2.78262	2.99958	4.87006	3.48673	2.14643	3.27027	2.87891	2.98239	2.66954	4.34869	3.02383	3.22399	3.49854	3.72332	3.70919	3.29836	3.84689	3.94754	3.13139	5.0361	4.02161	4.15995	3.31704	3.33898	2.88568	4.30764	4.04641	3.69732	4.13842	2.88509	3.20692	3.02387	3.46739	2.89643	4.00732	2.40069	2.99551	4.14174	3.96139	2.81907	4.03118	3.34643	3.79626	4.41123	4.13982	3.05014	4.88625	4.19299	3.85195	2.46989	3.66811	2.54394	1.45711	1.95703	3.69174	1.67824	3.74679	2.75201
RNA: Agilent Human miRNA (V2)	hsa-miR-105	hsa-mir-105-1	MI0000111	-4.00187	-3.52926	-4.41023	-3.80239	-3.41228	-3.53362	-3.09348	-3.30686	-4.30556	-3.01203	-2.55163	-3.64656	-3.61457	-3.39764	-3.45342	-4.11624	-3.68703	-4.38761	-3.54526	-3.16745	-1.37984	-3.20055	-2.90483	-2.26044	-3.76031	-3.34473	-2.79922	-1.67321	-2.42029	-2.87235	-1.75218	-2.74213	-1.89003	-1.88108	-2.89084	-2.46235	-3.4968	-2.85137	-4.37408	-3.91625	-4.28534	-3.1765	-3.90315	-4.02758	-3.0705	-3.45364	-3.7852	-3.66053	-3.04477	-3.92938	-3.36612	-4.33961	-3.62418	-2.89402	-3.96246	-4.51288	-3.49615	-2.66949	-3.162	-3.99791
RNA: Agilent Human miRNA (V2)	hsa-miR-105(2)	hsa-mir-105-2	MI0000112	-4.00187	-3.52926	-4.41023	-3.80239	-3.41228	-3.53362	-3.09348	-3.30686	-4.30556	-3.01203	-2.55163	-3.64656	-3.61457	-3.39764	-3.45342	-4.11624	-3.68703	-4.38761	-3.54526	-3.16745	-1.37984	-3.20055	-2.90483	-2.26044	-3.76031	-3.34473	-2.79922	-1.67321	-2.42029	-2.87235	-1.75218	-2.74213	-1.89003	-1.88108	-2.89084	-2.46235	-3.4968	-2.85137	-4.37408	-3.91625	-4.28534	-3.1765	-3.90315	-4.02758	-3.0705	-3.45364	-3.7852	-3.66053	-3.04477	-3.92938	-3.36612	-4.33961	-3.62418	-2.89402	-3.96246	-4.51288	-3.49615	-2.66949	-3.162	-3.99791
RNA: Agilent Human miRNA (V2)	hsa-miR-106a	hsa-mir-106a	MI0000113	-1.23832	-0.59361	-2.07656	-0.24942	-0.99505	-1.50353	-1.39357	-1.13075	-1.53387	-1.1235	-0.71722	1.27371	0.78477	-0.25688	0.5306	-0.11522	0.63264	1.11443	1.95688	2.21254	2.04642	1.49634	0.32333	0.2894	0.67463	-2.67329	0.3405	-2.86443	-2.60742	-1.42524	-0.48814	-0.65884	-0.76718	-1.49878	-1.6671	-2.36743	-0.73696	-1.32564	-0.85779	-2.35121	-1.19054	0.66016	-0.13712	0.18715	-1.35285	-1.5366	-1.10505	0.66303	-1.39484	-1.12155	-0.19369	-0.43335	-2.66713	-2.46725	-0.58118	-0.21853	-1.29879	-0.40115	-0.8796	-0.14375
RNA: Agilent Human miRNA (V2)	hsa-miR-106a*	hsa-mir-106a	MI0000113	-4.00187	-3.52926	-4.41023	-3.80239	-3.41228	-3.63916	-3.09348	-3.86184	-4.30556	-3.69773	-3.20248	-3.64656	-3.61457	-3.39764	-3.45342	-4.11624	-3.68703	-4.38761	-1.92102	-3.16745	-1.37984	-3.1508	-2.90483	-2.26044	-4.2572	-3.34473	-3.14666	-3.67336	-2.60742	-3.21253	-3.11952	-4.65498	-2.26381	-2.52188	-2.89084	-4.32847	-3.4968	-3.60636	-4.37408	-3.91625	-4.28534	-3.1765	-0.84912	-4.02758	-3.0705	-3.45364	-3.7852	-3.66053	-3.04477	-3.92938	-3.36612	-4.33961	-3.62418	-2.89402	-3.96246	-4.51288	-3.49615	-4.54925	-3.162	-3.99791
RNA: Agilent Human miRNA (V2)	hsa-miR-106b	hsa-mir-106b	MI0000734	5.24125	3.89943	2.59487	2.66742	3.77797	3.14128	2.89466	2.47984	2.17709	3.62883	2.58221	3.51708	3.75969	2.94316	3.29338	3.9419	3.8517	3.69661	3.94015	4.48158	4.23111	6.01855	5.07275	4.58362	2.2732	4.36859	3.06559	3.79921	3.23767	3.55824	3.61881	2.14044	3.87969	3.4603	3.58772	2.81515	3.07325	3.55851	2.18614	4.35014	2.62341	2.903	4.02366	2.96621	2.34103	3.94248	3.1152	2.26141	2.56484	2.11584	3.97083	2.99153	3.04805	3.72461	2.3589	1.61827	3.17506	2.05521	3.93982	2.48032
RNA: Agilent Human miRNA (V2)	hsa-miR-106b*	hsa-mir-106b	MI0000734	-2.91569	-3.52926	-4.41023	-3.80239	-3.41228	-3.39637	-3.09348	-3.86184	-4.30556	-3.69773	-3.20248	-3.64656	-3.61457	-3.39764	-3.25525	-3.9898	-3.68703	-3.22618	-2.2585	-2.37041	-1.37984	-2.21951	-2.90483	-2.26044	-4.2572	-3.34473	-3.36834	-3.67336	-2.60742	-3.21253	-3.36034	-4.65498	-3.22795	-3.53174	-2.89084	-4.32847	-3.4968	-3.60636	-4.37408	-3.91625	-4.28534	-3.1765	-3.78231	-3.9136	-3.0705	-3.45364	-3.7852	-3.66053	-3.04477	-3.92938	-3.36612	-4.33961	-3.62418	-2.89402	-3.96246	-4.51288	-3.49615	-4.54925	-3.162	-3.99791
RNA: Agilent Human miRNA (V2)	hsa-miR-107	hsa-mir-107	MI0000114	4.23818	4.11519	2.99518	3.24956	4.76326	3.41946	2.28481	3.47589	2.95247	3.17358	2.73726	4.15343	3.47422	3.20206	3.65739	3.82397	3.68872	3.47461	3.90549	4.11269	2.78274	4.8331	3.75258	3.89771	3.41663	3.64232	3.06267	3.93197	3.647	3.22308	4.16421	2.86717	3.04966	2.78102	3.49736	2.93367	3.93368	2.64285	3.17152	4.27431	3.92917	3.08047	3.89315	3.46943	3.63318	4.33347	3.60999	3.09361	4.35133	3.59956	3.53537	3.03521	3.38517	2.43581	2.20727	2.27288	3.33715	2.13528	3.40453	2.98465
RNA: Agilent Human miRNA (V2)	hsa-miR-10a	hsa-mir-10a	MI0000266	-4.00187	0.68085	-2.49558	1.00564	0.12828	1.07125	0.74907	1.2447	0.60102	-0.1334	0.06122	1.28689	2.71937	0.91321	4.18786	4.09543	1.04429	2.41782	-3.54526	-3.16745	1.14324	-3.20055	-2.90483	-2.26044	0.58721	0.86061	1.50643	-1.18376	1.43675	-0.67727	0.10418	-0.11433	0.07714	0.35756	1.19822	0.68074	1.69793	-1.25391	-0.59321	-2.47458	-1.02154	-1.63378	-3.37672	3.28014	-2.58148	1.51541	1.77248	-2.36141	4.62913	-1.68826	-2.42375	1.37964	2.61701	1.55797	1.64903	2.1145	0.61494	4.82727	-0.40972	1.21822
RNA: Agilent Human miRNA (V2)	hsa-miR-10a*	hsa-mir-10a	MI0000266	-4.00187	-3.52926	-4.41023	-3.76921	-3.41228	-3.63916	-3.09348	-3.86184	-4.30556	-3.69773	-3.20248	-3.64656	-3.29733	-3.39764	-1.35308	-2.43979	-3.68703	-2.77614	-3.54526	-3.16745	-1.37984	-3.20055	-2.90483	-2.26044	-3.99241	-3.34473	-2.85108	-3.67336	-2.60742	-3.21253	-3.36034	-4.45893	-3.22795	-3.53174	-2.89084	-4.32847	-3.4968	-3.60636	-4.37408	-3.91625	-4.28534	-3.1765	-3.90315	-1.90665	-3.0705	-3.45364	-3.7852	-3.66053	-2.47706	-3.92938	-3.36612	-3.36241	-3.62418	-2.89402	-2.94602	-2.67666	-3.49615	-0.14577	-3.162	-3.29162
RNA: Agilent Human miRNA (V2)	hsa-miR-10b	hsa-mir-10b	MI0000267	-4.00187	-2.37736	-4.41023	-1.88457	-2.78602	0.66377	0.39761	1.0303	0.87714	1.70736	0.92202	-1.44745	-0.07731	-1.09399	2.17609	0.79648	1.33761	0.08323	-3.54526	-3.16745	-1.3218	-3.20055	-2.90483	-2.26044	-2.24531	0.63888	0.14795	-0.40803	0.26532	-0.17652	0.69962	0.32152	0.31646	0.00387	-1.65065	-0.1745	-0.09879	-3.60636	-3.0024	-2.1913	-3.95904	-3.1765	-0.21131	3.32573	1.62946	-2.51389	-2.31251	-2.65312	2.98059	-0.67073	0.10985	-0.99396	-0.20448	0.72209	0.94737	0.7395	-0.21297	2.75446	-3.162	-0.22135
RNA: Agilent Human miRNA (V2)	hsa-miR-1224-5p	hsa-miR-1224-5p	MI0003764	-2.17349	-1.76608	-3.31245	0.45009	-2.2074	-0.73977	-1.4317	-2.12457	-2.05681	-1.89462	-1.26309	-1.50519	-0.96059	-1.58919	-1.65642	-2.02729	-1.36139	-1.33678	1.65896	-1.20369	-1.04141	-1.9224	-0.49577	0.03751	-0.54389	-2.30197	-0.98841	-2.71096	-1.50341	-1.45683	-1.34428	-0.42378	-2.33463	-2.02811	-1.75412	-1.26856	-1.85338	-1.23079	-1.66037	-2.71927	-3.11648	-0.96406	-3.26455	-1.29745	-2.92958	-2.64474	-2.81865	-0.29957	-2.29494	-2.853	-1.91331	-1.37831	-2.74941	-2.06131	-0.31856	-1.78782	-1.20118	-1.33791	-1.82723	-1.16635
RNA: Agilent Human miRNA (V2)	hsa-miR-1225-3p	hsa-miR-1225-3p	MI0006311	-3.41993	-3.20667	-4.10231	-2.87498	-2.85754	-2.16903	-2.20444	-3.07412	-3.57442	-3.25516	-1.9807	-2.99749	-2.46965	-2.18514	-2.84296	-3.74514	-3.23829	-3.60175	-1.96138	-2.0621	-1.20953	-3.02727	-2.33394	-1.93071	-2.64331	-3.06598	-2.93612	-3.33494	-2.23405	-2.65641	-2.92516	-3.42844	-2.9947	-3.39348	-2.33034	-3.63437	-2.92433	-3.17721	-3.42058	-3.68532	-3.89824	-2.20264	-3.40106	-2.74598	-2.48798	-2.79549	-3.7852	-2.61862	-1.98658	-3.73738	-2.9952	-3.54118	-3.34112	-2.5526	-2.42206	-3.1416	-3.32933	-3.42402	-2.55721	-2.87335
